"site_name_wash_co_no_permit","in_wash_co_no_permit","address","lat","lng"
"VIOC",1,"6900 SW NYBERG ST, TUALATIN, OR 97062",45.382767,-122.747206
"VIOC",1,"15410 SW PACIFIC HWY, TIGARD, OR 97224",45.408612,-122.794296
"VIOC",1,"7570 SW BASELINE RD, HILLSBORO, OR 97123",45.516733,-122.904821
"VISION PLASTICS",1,"26000 SW PARKWAY CTR DR, WILSONVILLE, OR 97070",45.333752,-122.762161
"WADE MFG CO",1,"9995 SW AVERY ST, TUALATIN, OR 97062",45.371732,-122.779142
"WASHINGTON COUNTY",1,"1400 SW WALNUT ST, HILLSBORO, OR 97123",45.517563,-123.004057
"WASHINGTON COUNTY",1,"215 SW ADAMS, HILLSBORO, OR 97123",45.521219,-122.991372
"WESTMARK INDUSTRIES INC",1,"6701 SW MCEWAN RD, LAKE OSWEGO, OR 97035",45.389893,-122.742684
"WILLAMETTE LANDSCAPE SERVICES",1,"18480 SW PACIFIC DR, TUALATIN, OR 97062",45.386546,-122.813021
"WILLAMETTE RESOURCES INC",1,"10295 SW RIDDER RD, WILSONVILLE, OR 97070",45.331762,-122.782277
"WILSONVILLE CONCRETE PROD",1,"6700 SW 110TH CT, BEAVERTON, OR 97005",45.486528,-122.790104
"YEAROUND LAWN CARE",1,"2920 SE 74TH AVE, HILLSBORO, OR 97123",45.501481,-122.90568
