"Company","Address","More Info URL","Has DEQ Permit","Has Onsite Storage of Chemicals","DEQ General Permit Type","DEQ General Permit Display Type"
"American Linen ","1441 N COLUMBIA BLVD, PORTLAND, OR 97217","www.portlandcleanair.org/26-2579","Yes","Yes",11,"11"
"Benson High School ","546 NE 12TH AVE, PORTLAND, OR 97232","www.portlandcleanair.org/26-2713","Yes","Yes",11,"11"
"Lewis & Clark College ","0615 SW PALATINE HILL RD, PORTLAND, OR 97219","www.portlandcleanair.org/26-2778","Yes","Yes",11,"11"
"The Reed Institute ","3203 SE WOODSTOCK BLVD, PORTLAND, OR 97202","www.portlandcleanair.org/26-2784","Yes","Yes",11,"11"
"Legacy Good Samaritan Hospital and Medical Center ","1015 NW 22ND AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-2926","Yes","No",11,"11"
"Portland Community College Sylvania Campus","12000 SW 49TH AVE, PORTLAND, OR 97219","www.portlandcleanair.org/26-2971","Yes","Yes",11,"11"
"Darigold, Inc. ","2720 SE 6TH AVE, PORTLAND, OR 97202","www.portlandcleanair.org/26-3253","Yes","Yes",11,"11"
"Oregon Health Sciences University ","3181 SW SAM JACKSON PARK RD, PORTLAND, OR 97239","www.portlandcleanair.org/26-0042","Yes","No",12,"12"
"Omega Cremation & Burial Service, Inc. ","223 SE 122ND AVE, PORTLAND, OR 97233","www.portlandcleanair.org/26-0125","Yes","No",12,"12"
"Portland Cremation Center, LLC ","17819 NE Riverside Pkwy Ste A, Portland, OR 97230","www.portlandcleanair.org/26-0151","Yes","No",12,"12"
"Family Animal Services, Inc. Riverside Parkway","17819 NE Riverside Pkwy Ste B, Portland, OR 97230","www.portlandcleanair.org/26-0155","Yes","No",12,"12"
"Oregon Humane Society ","1067 NE COLUMBIA BLVD, PORTLAND, OR 97211","www.portlandcleanair.org/26-2052","Yes","No",12,"12"
"Riverview Abbey Mausoleum Co. ","0319 SW TAYLORS FERRY RD, PORTLAND, OR 97219","www.portlandcleanair.org/26-2545","Yes","No",12,"12"
"Portland Memorial Inc ","6705 SE 14TH AVE, PORTLAND, OR 97202","www.portlandcleanair.org/26-2949","Yes","No",12,"12"
"Multnomah County Animal Control","24450 W COLUMBIA, TROUTDALE, OR 97060","www.portlandcleanair.org/26-2960","Yes","No",12,"12"
"SCI, Uniservice Corporation PFS Crematory","4733 NE THOMPSON, PORTLAND, OR 97213","www.portlandcleanair.org/26-3091","Yes","No",12,"12"
"Alderwoods Group Bateman Carroll Crematory","520 W BLVD POWELL, GRESHAM, OR 97030","www.portlandcleanair.org/26-3131","Yes","No",12,"12"
"River View Cemetary Association The ","0300 SW TAYLORS FERRY, PORTLAND, OR 97219","www.portlandcleanair.org/26-3276","Yes","No",12,"12"
"First Call Mortuary Service Inc ","4835 NE PACIFIC ST, PORTLAND, OR 97213","www.portlandcleanair.org/26-9545","Yes","No",12,"12"
"Cereal Food Processors, Inc. ","N LOMBARD ST FOOT OF, PORTLAND, OR 97203","www.portlandcleanair.org/26-2013","Yes","No",14,"Other"
"Land O'Lakes Purina Feed LLC ","15840 N SIMMONS RD, PORTLAND, OR 97203","www.portlandcleanair.org/26-3062","Yes","Yes",14,"Other"
"Wilbur-Ellis Company ","9945 N Burgard Way, Portland, OR 97203","www.portlandcleanair.org/26-3217","Yes","No",14,"Other"
"K & F Select Fine Coffees ","2801 SE 14TH AVENUE, PORTLAND, OR 97202","www.portlandcleanair.org/26-0004","Yes","No",16,"16"
"Kobos Company (The) ","2355 NW VAUGHN ST, PORTLAND, OR 97210","www.portlandcleanair.org/26-0007","Yes","No",16,"16"
"Portland Roasting Company ","340 SE 7TH AVE, PORTLAND, OR 97214","www.portlandcleanair.org/26-0070","Yes","No",16,"16"
"Brazilian Specialty Coffees, LLC ","1319 NW JOHNSON ST, PORTLAND, OR 97209","www.portlandcleanair.org/26-0224","Yes","No",16,"16"
"STUMPTOWN COFFEE CORP ","119 SE MAIN , PORTLAND, OR 97214","www.portlandcleanair.org/26-0227","Yes","No",16,"16"
"Black Rock Roasting Company Black Rock Warehouse","16307 NE CAMERON BLVD, PORTLAND, OR 97230","www.portlandcleanair.org/26-0239","Yes","No",16,"16"
"Bridgetown Coffee Company ","2101 NW YORK ST, PORTLAND, OR 97210","www.portlandcleanair.org/26-0261","Yes","No",16,"16"
"Heart LLC dba Heart Roasters","923 SE HAWTHORNE BLVD, PORTLAND, OR 97214","www.portlandcleanair.org/26-0263","Yes","No",16,"16"
"Boyd Coffee Company ","19730 NE SANDY BLVD, PORTLAND, OR 97230","www.portlandcleanair.org/26-2477","Yes","Yes",16,"16"
"Coffee Bean International, Inc. ","9120 NE ALDERWOOD RD, PORTLAND, OR 97220","www.portlandcleanair.org/26-3088","Yes","No",16,"16"
"Tyree Oil, Inc. ","2429 N BORTHWICK AVE, PORTLAND, OR 97227","www.portlandcleanair.org/26-3075","Yes","No",17,"Other"
"Tata Communications (US) Inc. ","1225 W BURNSIDE ST, PORTLAND, OR 97209","www.portlandcleanair.org/26-0040","Yes","No",18,"18"
"PCC Structurals LBO power generator","4600 SE HARNEY DR, PORTLAND, OR 97206","www.portlandcleanair.org/26-0130","Yes","Yes",18,"18"
"SunGard Availability Services, LP ","1233 NW 12TH AVE, PORTLAND, OR 97209","www.portlandcleanair.org/26-0132","Yes","No",18,"18"
"Skyline Tower, LLC KGW","1501 SW JEFFERSON ST, PORTLAND, OR 97201","www.portlandcleanair.org/26-0133","Yes","No",18,"18"
"Providence Health & Services - Oregon dba Providence Portland Medical Center","4805 NE GLISAN ST, PORTLAND, OR 97213","www.portlandcleanair.org/26-0136","Yes","No",18,"18"
"City of Portland, Bureau of Environmental Services Columbia Boulevard Wastewater Treatment Plant","5001 N. COLUMBIA BLVD., PORTLAND, OR 97203","www.portlandcleanair.org/26-0172","Yes","No",18,"18"
"Multnomah County East County Courthouse","18480 SE STARK ST, GRESHAM, OR 97223","www.portlandcleanair.org/26-0229","Yes","No",18,"18"
"Multnomah County Facilities & Prop. Mng. ","14355 N BYBEE LAKE CT, PORTLAND, OR 97203","www.portlandcleanair.org/26-0243","Yes","No",18,"18"
"Multnomah County Facilities & Prop. Mng. ","1401 NE 68TH AVE, PORTLAND, OR 97213","www.portlandcleanair.org/26-0244","Yes","No",18,"18"
"MEMC Electronic Materials, Inc. Portland, Oregon Manufacturing","7832 N LEADBETTER RD, PORTLAND, OR 97203","www.portlandcleanair.org/26-9536","Yes","Yes",18,"18"
"Pratt and Larson Ceramics ","1201 SE 3RD AVE, PORTLAND, OR 97214","www.portlandcleanair.org/26-9548","Yes","Yes",19,"Other"
"Kohler Company Ann Sacks Tile","8120 NE 33RD DR, PORTLAND, OR 97211","www.portlandcleanair.org/26-9801","Yes","Yes",19,"Other"
"Northwest Copper Works, Inc. ","1303 N RIVER ST, PORTLAND, OR 97227","www.portlandcleanair.org/26-0168","Yes","No",25,"Other"
"Sulzer Pumps (US), Inc. ","2800 NW FRONT AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-0178","Yes","Yes",25,"Other"
"Rikar Enterprises Inc. Pioneer Trailer and Fabrication","7559 NE 33RD DRIVE, PORTLAND, OR 97211","www.portlandcleanair.org/26-0179","Yes","No",25,"Other"
"American Metal Products Company AMPCO","1532 SE 3RD AVENUE, PORTLAND, OR 97214","www.portlandcleanair.org/26-0184","Yes","No",25,"Other"
"CH Murphy/Clark-Ulman, Inc. ","5565 N DOLPHIN ST, PORTLAND, OR 97217","www.portlandcleanair.org/26-0187","Yes","No",25,"Other"
"Transco Industries, Inc. ","5534 NE 122ND AVE, PORTLAND, OR 97230","www.portlandcleanair.org/26-0218","Yes","No",25,"Other"
"The Lynch Company, Inc. ","4706 SE 18TH AVE, PORTLAND, OR 97202","www.portlandcleanair.org/26-0251","Yes","No",25,"Other"
"East Side Plating, Inc. Plant #4","310 SE STEPHENS ST, PORTLAND, OR 97214","www.portlandcleanair.org/26-0171","Yes","Yes",26,"Other"
"Apex Anodizing, Inc. Apex Anodizing, Inc.","7116 SE 92ND AVE, PORTLAND, OR 97266","www.portlandcleanair.org/26-0189","Yes","Yes",26,"Other"
"Bob Thomas Auto Body ","8752 NE SANDY BLVD, PORTLAND, OR 97220","www.portlandcleanair.org/26-0159","Yes","No",27,"27"
"Brasher's Auto and Truck Collision Repair ","23585 NE SANDY BLVD, WOOD VILLAGE, OR 97060","www.portlandcleanair.org/26-0161","Yes","No",27,"27"
"U-Haul Repair Center ","11711 SE 82ND AVE, PORTLAND, OR 97266","www.portlandcleanair.org/26-0164","Yes","No",27,"27"
"K W Auto Body, Inc. dba Si's Auto Body","6708 NE GLISAN, PORTLAND, OR 97213","www.portlandcleanair.org/26-0165","Yes","No",27,"27"
"Columbia Sales and Service, Inc. ","8500 N COLUMBIA BLVD, PORTLAND, OR 97203","www.portlandcleanair.org/26-0173","Yes","No",27,"27"
"Sharp Auto Body and Paint Works, Inc. ","4031 SE 26TH, PORTLAND, OR 97202","www.portlandcleanair.org/26-0174","Yes","No",27,"27"
"Gateway Body Shop, Inc. ","1418 NE 119TH AVE, PORTLAND, OR 97220","www.portlandcleanair.org/26-0175","Yes","No",27,"27"
"Tom Black's Garage ","2400 NE HOLLADAY ST, PORTLAND, OR 97232","www.portlandcleanair.org/26-0185","Yes","No",27,"27"
"East Portland Auto Body, Inc. ","9127 SE STARK ST, PORTLAND, OR 97216","www.portlandcleanair.org/26-0186","Yes","No",27,"27"
"Central Auto Body LLC dba John's Landing Auto Body","6805 SW MACADAM AVE, PORTLAND, OR 97219","www.portlandcleanair.org/26-0188","Yes","No",27,"27"
"Jose Sanchez Jose's Auto Body","10510 SE REEDWAY ST, PORTLAND, OR 97266","www.portlandcleanair.org/26-0191","Yes","No",27,"27"
"Thompson Auto Body, Inc. ","10310 SE FOSTER RD, PORTLAND, OR 97266","www.portlandcleanair.org/26-0194","Yes","No",27,"27"
"ACP Auto Body LLC ","10033 E BURNSIDE ST, PORTLAND, OR 97216","www.portlandcleanair.org/26-0196","Yes","No",27,"27"
"Express Auto Body, Inc. ","801 N LOMBARD ST, PORTLAND, OR 97217","www.portlandcleanair.org/26-0205","Yes","No",27,"27"
"Fix Auto Express Gresham ","1300 NE DIVISION ST, GRESHAM, OR 97030","www.portlandcleanair.org/26-0209","Yes","No",27,"27"
"ACME Welding, Inc. ","637 SE SALMON ST, PORTLAND, OR 97214","www.portlandcleanair.org/26-0211","Yes","No",27,"27"
"Portland Auto LLC ","10000 SE ANKENY ST, PORTLAND, OR 97216","www.portlandcleanair.org/26-0212","Yes","No",27,"27"
"Elite Collision LLC ","1925 E POWELL BLVD, GRESHAM, OR 97080","www.portlandcleanair.org/26-0216","Yes","No",27,"27"
"Quality Industrial Refinishers Co. ","901 NE GERTZ RD, PORTLAND, OR 97211","www.portlandcleanair.org/26-0217","Yes","No",27,"27"
"Vanquish Investment Group Pacific Service Center","4030 NE BUFFALO ST, PORTLAND, OR 97211","www.portlandcleanair.org/26-0219","Yes","No",27,"27"
"Horizon Air Industries ","8070 NE AIRTRANS WAY, PORTLAND, OR 97218","www.portlandcleanair.org/26-0248","Yes","Yes",27,"27"
