company source no,filename,facility name,st addr, city addr, zip addr
26-1876,261876Owen,Owens-Brockway Glass Container Inc.,9710 NE Glass Plant Rd.,Portland,97294-0067
24-8062,248062Fost,Foster Farms LLC  -  Donald Feedmill,11671 Ehlen Road,Aurora,97002
34-00009,340009Inte,International Paper,5570 SW Western Ave,Beaverton,97005
10-0022,100022Murp,Murphy Company - Engineered Wood Division,412 West Central Avenue,Sutherlin,97479
34-0063,340063LamR,Lam Research,11155 SW Leveton Drive,Tualatin,97062
09-0072,090072Gene,Genesis Acquisition Co dba Northland Furniture Company,681 SE Glenwood Drive,Bend,OR 97702
34-0152,340152Quan,QuantumClean,21421 NW Jacobson Road,Hillsboro,97124
15-0218,150218CDSP,CDS Publications Inc.,2603 South Pacific Highway,Medford,97501
26-1894,261894Herb,Herbert Malarkey Roofing Company,3131 N. Columbia Blvd.,Portland OR,97217
02-2524,022524Oreg,OSU Vet,College of Veterinary Medicine / Magruder hall 105,Corvallis OR,97331
18-0003,180003-1Kl,Klamath Energy LLC,4940 Hwy 97 S,Klamath Falls,97601
22-2525,222525Fran,Frank Lumber Co. Inc.,47983 Lyons-Mill City Drive,Lyons,97358
25-0031,250031Port,Coyote Springs Plant,200 Ullman Blvd.,Boardman,97818
26-2557,262557Blas,Blasen & Blasen Lumber Corp.,2155 N Columbia Blvd.,Portland,97217
30-0056,30-0056_Bl,Blue Mountain Lumber,44112 Rieth Road,Pendleton,97801
29-0007,290007-1Ha,Hampton Lumber Mills Inc. dba Tillamook Lumber Company,3111 East 3rd Street,Tillamook,97141
34-2753,342753Clea,Rock Creek Advanced Wastewater Treatment Facility,3235 SE River Road,Hillsboro,97123
37-0004,370004GasT,Gas Transmission Northwest LLC Stanfield Meter Station,0.8 miles east of Stanfield Loop Road on Guthrey Lane,Stanfield,97875
17-0022,170022-2Ci,Merlin Landfill,1749 Merlin Rd.,Grants Pass,97526
22-3501,223501Casc,Cascade Pacific Pulp LLC,30480 American Drive,Halsey,97348
06-0028,060028Allw,Allweather Wood ,69015 Hauser Depot Rd,North Bend ,97459
26-2572,262572Cont,Container Management Services LLC,3000 NW St. Helens Road,Portland,97210
34-2066,342066-1St,Stimson Lumber Company - Forest Grove Facility,49800 SW Scoggins Valley Road,Gaston,97119
22-0547,220547TDYI,TDY Industries LLC dba ATI Specialty Alloys and Components,1600 Old Salem Rd NE,Albany,97321
03-0030,030030Drav,Dravon Medical Inc.,11465 SE Highway 212,Clackamas Oregon,97015
02-0005,02-0005_HP,HP Inc,1070 NE CIRCLE BLVD,CORVALLIS,97330
22-6009,226009WRGr,W. R. Grace,1290 Industrial Way,Albany,97322
18-0005,180005Inte,Interfor US Inc. Gilchrist Facility,#1 Sawmill Road,Gilchrist,97737
15-0218-SI-01,15-0218_CD,CDS Publications Inc.,2603 South Pacific Highway,Medford,97501.0
05-2520,052520Port,Beaver Port Westward 1 Port Westward 2,80997 and 81566 Kallunki Road,Clatskanie,97016
26-2068,262068ESCO,ESCO Corporation,2211 NW Brewer St.,Portland,97210
25-0008,250008VADA,VAdata Inc.,79539 Rippee Rd,Boardman,97818
30-0112,300112-1No,Meacham Compressor Station,West Side of I-84,Meacham Compressor Station,97470
26-3291,263291Boei,The Boeing Company,4635 NE Cornfoot Road,Portland,97218
18-0097,180097_173,173d Fighter Wing Oregon Air National Guard,221 Wagner Street Suite 16,Klamath Falls,97603
04-0004,040004Geor,Georgia-Pacific Consumer Products LP,92326 Taylorville Road,Clatskanie,97016
