"Facility Type","Site Name","Address","City","lat","lon","key","url","in_airport"
"Airport","Sportsman Airpark Airport","Unknown","Newberg",45.29567,-122.95538,"Airport_Sportsman_Airpark","www.portlandcleanair.org/files/detailed_co_info/Airport_Sportsman_Airpark",1
"Airport","SANDY RIVER Airport","Unknown","SANDY",45.4018,-122.2287,"Airport_SANDY_RIVER","www.portlandcleanair.org/files/detailed_co_info/Airport_SANDY_RIVER",1
"Airport","City-County Airport","Unknown","Madras",44.66623,-121.1631,"Airport_City-County","www.portlandcleanair.org/files/detailed_co_info/Airport_City-County",1
"Airport","Prineville Airport","Unknown","Prineville",44.28699,-120.90383,"Airport_Prineville","www.portlandcleanair.org/files/detailed_co_info/Airport_Prineville",1
"Airport","Lebanon State Airport","Unknown","Lebanon",44.52985,-122.92953,"Airport_Lebanon_State","www.portlandcleanair.org/files/detailed_co_info/Airport_Lebanon_State",1
"Airport","Florence Muni Airport","Unknown","Florence",43.97901,-124.10956,"Airport_Florence_Muni","www.portlandcleanair.org/files/detailed_co_info/Airport_Florence_Muni",1
"Airport","Grant Co Rgnl-Ogilvie F Airport","Unknown","John Day",44.40417,-118.9625,"Airport_Grant_Co_Rgnl-Ogilvie_F","www.portlandcleanair.org/files/detailed_co_info/Airport_Grant_Co_Rgnl-Ogilvie_F",1
"Airport","Tillamook Airport","Unknown","Tillamook",45.41824,-123.81438,"Airport_Tillamook","www.portlandcleanair.org/files/detailed_co_info/Airport_Tillamook",1
"Airport","Burns Muni Airport","Unknown","Burns",43.59213,-118.95498,"Airport_Burns_Muni","www.portlandcleanair.org/files/detailed_co_info/Airport_Burns_Muni",1
"Airport","Bandon State Airport","Unknown","Bandon",43.08733,-124.40956,"Airport_Bandon_State","www.portlandcleanair.org/files/detailed_co_info/Airport_Bandon_State",1
"Airport","Sunriver Airport","Unknown","Sunriver",43.87633,-121.45306,"Airport_Sunriver","www.portlandcleanair.org/files/detailed_co_info/Airport_Sunriver",1
"Airport","Illinois Valley Airport","Unknown","Cave Junction",42.10372,-123.68229,"Airport_Illinois_Valley","www.portlandcleanair.org/files/detailed_co_info/Airport_Illinois_Valley",1
"Airport","Lake County Airport","Unknown","Lakeview",42.16111,-120.39907,"Airport_Lake_County","www.portlandcleanair.org/files/detailed_co_info/Airport_Lake_County",1
"Airport","LENHARDT AIRPARK Airport","Unknown","HUBBARD",45.1804,-122.7434,"Airport_LENHARDT_AIRPARK","www.portlandcleanair.org/files/detailed_co_info/Airport_LENHARDT_AIRPARK",1
"Airport","Gold Beach Muni Airport","Unknown","Gold Beach",42.41344,-124.42427,"Airport_Gold_Beach_Muni","www.portlandcleanair.org/files/detailed_co_info/Airport_Gold_Beach_Muni",1
"Airport","Portland Downtown Airport","Unknown","Portland",45.52528,-122.67093,"Airport_Portland_Downtown","www.portlandcleanair.org/files/detailed_co_info/Airport_Portland_Downtown",1
"Airport","ENTERPRISE MUNI Airport","Unknown","ENTERPRISE",45.4249,-117.2649,"Airport_ENTERPRISE_MUNI","www.portlandcleanair.org/files/detailed_co_info/Airport_ENTERPRISE_MUNI",1
"Airport","Lexington Airport","Unknown","Lexington",45.45415,-119.69027,"Airport_Lexington","www.portlandcleanair.org/files/detailed_co_info/Airport_Lexington",1
"Airport","Condon State Pauling Fl Airport","Unknown","Condon",45.24652,-120.16642,"Airport_Condon_State_Pauling_Fl","www.portlandcleanair.org/files/detailed_co_info/Airport_Condon_State_Pauling_Fl",1
"Airport","Siletz Bay State Airport","Unknown","Gleneden Beach",44.87761,-124.02845,"Airport_Siletz_Bay_State","www.portlandcleanair.org/files/detailed_co_info/Airport_Siletz_Bay_State",1
"Airport","Joseph State Airport","Unknown","Joseph",45.3571,-117.25322,"Airport_Joseph_State","www.portlandcleanair.org/files/detailed_co_info/Airport_Joseph_State",1
"Airport","Christmas Valley Airport","Unknown","Christmas Valley",43.23653,-120.6661,"Airport_Christmas_Valley","www.portlandcleanair.org/files/detailed_co_info/Airport_Christmas_Valley",1
"Airport","Chiloquin State Airport","Unknown","Chiloquin",42.57639,-121.87694,"Airport_Chiloquin_State","www.portlandcleanair.org/files/detailed_co_info/Airport_Chiloquin_State",1
"Airport","Seaside Municipal Airport","Unknown","Seaside",46.0165,-123.90542,"Airport_Seaside_Municipal","www.portlandcleanair.org/files/detailed_co_info/Airport_Seaside_Municipal",1
"Airport","VERNONIA AIRFIELD Airport","Unknown","VERNONIA",45.8515,-123.2415,"Airport_VERNONIA_AIRFIELD","www.portlandcleanair.org/files/detailed_co_info/Airport_VERNONIA_AIRFIELD",1
"Airport","LAKE WOAHINK Airport","Unknown","FLORENCE",43.9042,-124.1147,"Airport_LAKE_WOAHINK","www.portlandcleanair.org/files/detailed_co_info/Airport_LAKE_WOAHINK",1
"Airport","WEST BUTTERCREEK Airport","Unknown","ECHO",45.6653,-119.3861,"Airport_WEST_BUTTERCREEK","www.portlandcleanair.org/files/detailed_co_info/Airport_WEST_BUTTERCREEK",1
"Airport","VALLEY VIEW Airport","Unknown","ESTACADA",45.3082,-122.3187,"Airport_VALLEY_VIEW","www.portlandcleanair.org/files/detailed_co_info/Airport_VALLEY_VIEW",1
"Airport","Wasco State Airport","Unknown","Wasco",45.58944,-120.67417,"Airport_Wasco_State","www.portlandcleanair.org/files/detailed_co_info/Airport_Wasco_State",1
"Airport","NEHALEM BAY STATE Airport","Unknown","MANZANITA",45.6982,-123.9299,"Airport_NEHALEM_BAY_STATE","www.portlandcleanair.org/files/detailed_co_info/Airport_NEHALEM_BAY_STATE",1
"Airport","Myrtle Creek Municipal Airport","Unknown","Myrtle Creek",42.99845,-123.30951,"Airport_Myrtle_Creek_Municipal","www.portlandcleanair.org/files/detailed_co_info/Airport_Myrtle_Creek_Municipal",1
"Airport","Mc Dermitt State Airport","Unknown","Mc Dermitt",42.00211,-117.7232,"Airport_Mc_Dermitt_State","www.portlandcleanair.org/files/detailed_co_info/Airport_Mc_Dermitt_State",1
