00308	7161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00312	3544	1802	2000	cartridges	11	ounces	1.4	NA	NA	NA
00313	3544	155	200	jars	4	ounces	1.881	NA	NA	NA
00314	3544	225.7	300	gallons	1	gallon	NA	11.18	NA	NA
00315	3544	200	500	pounds	1	pound	---	---	NA	NA
00319	3544	1802	2000	cartridges	11	ounces	1.4	NA	NA	NA
00320	3544	155	200	jars	4	ounces	1.881	NA	NA	NA
00321	3544	225.7	300	gallons	1	gallon	NA	11.18	NA	NA
00322	3544	200	500	pounds	1	pound	---	---	NA	NA
00333	3544	2.25	2.25	Gallons	NA	NA	NA	10.66	NA	NA
00334	3544	1	1	Gallons	NA	NA	NA	10.13	NA	NA
00335	3544	6	6	Gallons	NA	NA	NA	8.24	NA	NA
00336	3544	1.64	1.64	Gallons	NA	NA	NA	11.39	NA	NA
00337	3544	1	1	Gallons	NA	NA	NA	7.18	NA	NA
00338	3544	0.25	0.25	Gallons	NA	NA	NA	5.85	NA	NA
00339	3544	2	2	Gallons	NA	NA	NA	7.92	NA	NA
00340	3544	20	20	Gallons	NA	NA	NA	8.39	NA	NA
00341	3544	5	5	Gallons	NA	NA	NA	9.71	NA	NA
00342	3544	46	46	Gallons	NA	NA	NA	8.06	NA	NA
00343	3544	95	95	Gallons	NA	NA	NA	7.96	NA	NA
00344	3544	1	1	Gallons	NA	NA	NA	8	NA	NA
00345	3544	4	4	Gallons	NA	NA	NA	8.73	NA	NA
00346	3544	3	3	Gallons	NA	NA	NA	6.87	NA	NA
00347	3544	19	19	Gallons	NA	NA	NA	10.1	NA	NA
00348	3544	17	17	Gallons	NA	NA	NA	8.17	NA	NA
00349	3544	67	67	Gallons	NA	NA	NA	8.72	NA	NA
00350	3544	35.5	35.5	Gallons	NA	NA	NA	7.96	NA	NA
00351	3544	21	21	Gallons	NA	NA	NA	7.96	NA	NA
00352	3544	2	2	Gallons	NA	NA	NA	8.33	NA	NA
00353	3544	3	3	Gallons	NA	NA	NA	8.1	NA	NA
00354	3544	3	3	Gallons	NA	NA	NA	8.08	NA	NA
00355	3544	2	2	Gallons	NA	NA	NA	8.02	NA	NA
00356	3544	5	5	Gallons	NA	NA	NA	8.14	NA	NA
00357	3544	1	1	Gallons	NA	NA	NA	7.97	NA	NA
00358	3544	0.5	0.5	Gallons	NA	NA	NA	8.13	NA	NA
00359	3544	0.25	0.25	Gallons	NA	NA	NA	8.14	NA	NA
00360	3544	1	1	Gallons	NA	NA	NA	8.19	NA	NA
00361	3544	2	2	Gallons	NA	NA	NA	8.38	NA	NA
00362	3544	2	2	Gallons	NA	NA	NA	8.09	NA	NA
00363	3544	0.75	0.75	Gallons	NA	NA	NA	8.09	NA	NA
00364	3544	12	12	Gallons	NA	NA	NA	11.66	NA	NA
00365	3544	0.25	0.25	Gallons	NA	NA	NA	8.59	NA	NA
00366	3544	1	1	Gallons	NA	NA	NA	8.08	NA	NA
00367	3544	5	5	Gallons	NA	NA	NA	10.42	NA	NA
00368	3544	3	3	Gallons	NA	NA	NA	7.95	NA	NA
00369	3544	1.25	1.25	Gallons	NA	NA	NA	8.04	NA	NA
00370	3544	7	7	Gallons	NA	NA	NA	8.08	NA	NA
00371	3544	3	3	Gallons	NA	NA	NA	8.41	NA	NA
00372	3544	1	1	Gallons	NA	NA	NA	8.41	NA	NA
00373	3544	1	1	Gallons	NA	NA	NA	8.52	NA	NA
00374	3544	5.25	5.25	Gallons	NA	NA	NA	8.38	NA	NA
00375	3544	1.75	1.75	Gallons	NA	NA	NA	8.4	NA	NA
00376	3544	0.75	0.75	Gallons	NA	NA	NA	8.29	NA	NA
00377	3544	0.25	0.25	Gallons	NA	NA	NA	7.96	NA	NA
00378	3544	0.25	0.25	Gallons	NA	NA	NA	8.42	NA	NA
00379	3544	40	40	Gallons	NA	NA	NA	8.12	NA	NA
00380	3544	38	38	Gallons	NA	NA	NA	7.71	NA	NA
00381	3544	8	8	Gallons	NA	NA	NA	7.91	NA	NA
00382	3544	1	1	Gallons	NA	NA	NA	8.53	NA	NA
00383	3544	92.5	92.5	Gallons	NA	NA	NA	7.08	NA	NA
00384	3544	39	39	Gallons	NA	NA	NA	7.44	NA	NA
00385	3544	2	2	Gallons	NA	NA	NA	7.24	NA	NA
00386	3544	45	45	Gallons	NA	NA	NA	9.43	NA	NA
00387	3544	39	39	Gallons	NA	NA	NA	9.03	NA	NA
00388	3544	45	45	Gallons	NA	NA	NA	9.52	NA	NA
00389	3544	8	8	Gallons	NA	NA	NA	12.02	NA	NA
00390	3544	13	13	Gallons	NA	NA	NA	11.82	NA	NA
00391	3544	12	12	Gallons	NA	NA	NA	12.04	NA	NA
00392	3544	8.5	8.5	Gallons	NA	NA	NA	7.96	NA	NA
00393	3544	0.25	0.25	Gallons	NA	NA	NA	8.27	NA	NA
00394	3544	0.25	0.25	Gallons	NA	NA	NA	8.49	NA	NA
00395	3544	28	28	Gallons	NA	NA	NA	10.82	NA	NA
00396	3544	1	1	Gallons	NA	NA	NA	11.58	NA	NA
00397	3544	35	35	Gallons	NA	NA	NA	6.2	NA	NA
00398	3544	91	91	Gallons	NA	NA	NA	6.89	NA	NA
00399	3544	0.75	0.75	Gallons	NA	NA	NA	7.9	NA	NA
00400	3544	0.08	0.08	Gallons	NA	NA	NA	20.26	NA	NA
00401	3544	0.08	0.08	Gallons	NA	NA	NA	22.49	NA	NA
00402	3544	0.08	0.08	Gallons	NA	NA	NA	21.24	NA	NA
00403	3544	0.04	0.04	Gallons	NA	NA	NA	22.49	NA	NA
00404	3544	0.12	0.12	Gallons	NA	NA	NA	23.93	NA	NA
00405	3544	0.04	0.04	Gallons	NA	NA	NA	25.4	NA	NA
00406	3544	0.08	0.08	Gallons	NA	NA	NA	25.4	NA	NA
00407	3544	0.12	0.12	Gallons	NA	NA	NA	23.7	NA	NA
00408	3544	0.13	0.13	Gallons	NA	NA	NA	21.66	NA	NA
00409	3544	45	45	Gallons	NA	NA	NA	7.4	NA	NA
00410	3544	3	3	Gallons	NA	NA	NA	7.38	NA	NA
00411	3544	7	7	Gallons	NA	NA	NA	7.9	NA	NA
00412	3544	0.5	0.5	Gallons	NA	NA	NA	8.11	NA	NA
00413	3544	0.5	0.5	Gallons	NA	NA	NA	8.19	NA	NA
00414	3544	1	1	Gallons	NA	NA	NA	7.86	NA	NA
00415	3544	0.25	0.25	Gallons	NA	NA	NA	8.04	NA	NA
00416	3544	1.5	1.5	Gallons	NA	NA	NA	8.15	NA	NA
00417	3544	3	3	Gallons	NA	NA	NA	7.91	NA	NA
00418	3544	0.25	0.25	Gallons	NA	NA	NA	8.51	NA	NA
00419	3544	0.25	0.25	Gallons	NA	NA	NA	10.1	NA	NA
00420	3544	0.25	0.25	Gallons	NA	NA	NA	8.69	NA	NA
00421	3544	2	2	Gallons	NA	NA	NA	7.68	NA	NA
00422	3544	2	2	Gallons	NA	NA	NA	7.64	NA	NA
00423	3544	2	2	Gallons	NA	NA	NA	7.65	NA	NA
00424	3544	3	3	Gallons	NA	NA	NA	7.68	NA	NA
00425	3544	2	2	Gallons	NA	NA	NA	7.68	NA	NA
00426	3544	4	4	Gallons	NA	NA	NA	7.76	NA	NA
00427	3544	3.75	3.75	Gallons	NA	NA	NA	8.07	NA	NA
00428	3544	2	2	Gallons	NA	NA	NA	8.07	NA	NA
00429	3544	0.75	0.75	Gallons	NA	NA	NA	8.02	NA	NA
00430	3544	0.5	0.5	Gallons	NA	NA	NA	8.19	NA	NA
00431	3544	1.75	1.75	Gallons	NA	NA	NA	7.94	NA	NA
00432	3544	1	1	Gallons	NA	NA	NA	9.42	NA	NA
00433	3544	0.25	0.25	Gallons	NA	NA	NA	8.13	NA	NA
00434	3544	0.25	0.25	Gallons	NA	NA	NA	8.13	NA	NA
00435	3544	0.5	0.5	Gallons	NA	NA	NA	8.16	NA	NA
00436	3544	5	5	Gallons	NA	NA	NA	8.26	NA	NA
00437	3544	8	8	Gallons	NA	NA	NA	10.94	NA	NA
00438	3544	0.5	0.5	Gallons	NA	NA	NA	8.08	NA	NA
00439	3544	1	1	Gallons	NA	NA	NA	9.06	NA	NA
00440	3544	8.5	8.5	Gallons	NA	NA	NA	9.03	NA	NA
00441	3544	16	16	Gallons	NA	NA	NA	10.64	NA	NA
00442	3544	1.75	1.75	Gallons	NA	NA	NA	7.25	NA	NA
00443	3544	3	3	Gallons	NA	NA	NA	7.08	NA	NA
00444	3544	4	4	Gallons	NA	NA	NA	7.31	NA	NA
00445	3544	7.75	7.75	Gallons	NA	NA	NA	7.81	NA	NA
00448	3544	2211	2400	Lbs.	NA	NA	NA	NA	0	0
00455	7161	2949	3834	gallons	1.01	8.423399999999999	0	0	None	0.75	1
00464	7161	87.0	87.0	gal/yr	NA	10.9	NA	NA	0	0	0
00465	7161	705.15	705.15	lbs	NA	1	NA	NA	0	0	0
00466	7161	140	140	gal/yr	NA	10.5084	NA	NA	0	0	0
00467	7161	2.75	2.75	gal/yr	NA	8.34	NA	NA	0	0	0
00468	7161	53.125	53.125	lbs	NA	1	NA	NA	0	0	0
00469	7161	106	106	gal/yr	NA	7.234	NA	NA	0	0	0
00470	7161	845	845	gal/yr	NA	6.717	NA	NA	0	0	0
00471	7161	383	383	gal/yr	NA	6.55	NA	NA	0	0	0
00472	7161	26788.96	26788.96	lbs	NA	1	NA	NA	0	0	0
00473	7161	26788.96	26788.96	lbs	NA	1	NA	NA	NA	35	99.75
00483	7161	628.0	628.0	gallon	NA	6.59	NA	NA	None	0	0
00484	7161	22.5	22.5	pound	NA	8.23	NA	NA	None	0	0
00485	7161	3.125	3.125	pound	NA	8.67	NA	NA	None	0	0
00486	7161	30.0	30.0	gallon	NA	8.42	NA	NA	None	0	0
00487	7161	0.0	0.002642007926023778	gallon	NA	8.937394199999998	NA	NA	None	0	0
00488	7161	0.002642007926023778	0.002642007926023778	gallon	NA	6.672	NA	NA	None	0	0
00489	7161	56.0	56.0	gallon	NA	12.01	NA	NA	None	0	0
00490	7161	3.0	3.0	gallon	NA	8.38	NA	NA	None	0	0
00491	7161	5.15	5.15	pound	NA	10.84	NA	NA	None	0	0
00492	7161	0.0	5.15	pound	NA	11.26	NA	NA	None	0	0
00493	7161	43.88986784140969	43.88986784140969	pound	NA	--	NA	NA	None	0	0
00494	7161	21.12	21.12	pound	NA	9.34	NA	NA	None	0	0
00495	7161	550.0	550.0	gallon	NA	9.52	NA	NA	None	0	0
00496	7161	19.0	19.0	pound	NA	NA	NA	NA	Scrubber	1	0.99
00509	7161	4360898	5015032.699999999	lbs	NA	NA	239849.39	275826.7985	None	0	0
00510	7161	11331062	13030721.299999999	lbs	NA	NA	623208.41	716689.6714999999	None	0	0
00511	7161	782709	900115.35	lbs	NA	NA	43048.995	49506.34425	None	0	0
