00263	857	Scrubber Solution	Sodium Hydroxide	Sodium Hydroxide Solution	Northstar Chemical, Inc.
00264	857	Water Disinfection	Peracetic Acid	VigorOx WWT II	PeroxyChem
00265	857	Water Disinfection	Chlorine Gas	Chlorine	Axiall, LLC
00297	7161	Core Facility	IPA	NA	NA
00298	7161	Core Facility	Naphthalene	NA	NA
00299	3393	Vacudyne sterilizer	Ethylene Oxide	Ethylene Oxide	ARC Chemical
00308	7161	Insert rows above this row!	NA	NA	NA
00312	3544	COAT	Duct Sealant	Force Flow/LaSalle 181	LaSalle Air Systems
00313	3544	COAT	Colormetric Acrylic Putty	Colorimetric Acrylic Finger Putty	Cast Products Corp. - Colorimetric Div.
00314	3544	COAT	Paint, Interior- Dromedary Camel	MESA+ Interior Latex Scrubbable Flat Paint, Extra White (B30WJ581)	The Sherwin-Williams Company
00315	3544	WELD	Aluminum Rod	NA	NA
00319	3544	COAT	Duct Sealant	Force Flow/LaSalle 181	LaSalle Air Systems
00320	3544	COAT	Colormetric Acrylic Putty	Colorimetric Acrylic Finger Putty	Cast Products Corp. - Colorimetric Div.
00321	3544	COAT	Paint, Interior- Dromedary Camel	MESA+ Interior Latex Scrubbable Flat Paint, Extra White (B30WJ581)	The Sherwin-Williams Company
00322	3544	WELD	Aluminum Rod	NA	NA
00333	3544	Painting/Coatings	Cear Coat	1100727	Sherwin Williams
00334	3544	Painting/Coatings	Primer	21	Sherwin Williams
00335	3544	Painting/Coatings	Cleaner	4600800	Sherwin Williams
00336	3544	Painting/Coatings	Primer	988	Sherwin Williams
00337	3544	Painting/Coatings	Blender	BS10	Sherwin Williams
00338	3544	Painting/Coatings	Blender	BS11	Sherwin Williams
00339	3544	Painting/Coatings	Clear Coat	CC939	Sherwin Williams
00340	3544	Painting/Coatings	Clear Coat	CC950	Sherwin Williams
00341	3544	Painting/Coatings	Toner	DA628	Sherwin Williams
00342	3544	Painting/Coatings	Clear Coat	DC5010	Sherwin Williams
00343	3544	Painting/Coatings	Clear Coat	DC5020	Sherwin Williams
00344	3544	Painting/Coatings	Clear Coat	DCI51	Sherwin Williams
00345	3544	Painting/Coatings	Primer	DE830	Sherwin Williams
