00062	5069	271.BF1	Clay/shale crusher 271.CR1 (Hazmag impact crusher)	30504615
00063	5069	252.BF1 (formerly EP 15, 18, 19, 20 & 21)	252.SN1 SCREEN & FOUR BELT TRANSFERS	30532006
00064	5069	EP 7	PRIMARY CRUSHER 232.CR1	30532001
00065	5069	EP 17	252.CR1 CRUSHER (Secondary Crusher)	30532002
00066	5069	T1-T6	Portable screen plant to process 22,500 Mg/yr rock to produce stemming for quarry	30532004
00067	5069	341.BF1	Iron ore, shale, clay and clean rock storage silos	30500699
00068	5069	351.BF2	Raw material conveyors (351.BC2 to 351.BC3)	30500612
00069	5069	351.BF3	Discharge of raw material feeders (351.WF1, 351.WF2, 351.WF3, 351.WF4, 351.WF5, and 351.BC1 to 351.BC2)	30500612
00070	5069	351.BF4 - new	351.CHB to truck	30500612
00071	5069	371.BF1	Raw meal conveyors  (371.BE1, 371.AS3, 371.AS4, 371.AS5 & 411.SI1)	30500612
00072	5069	341.BF2	Chute onto screen (341.CH1) and emissions off screen itself (331.SN1) 	30532006
00073	5069	411.BF1	Air slide for the raw mix into blend silos (411.AS2 & 411.SI2)	30500612
00074	5069	421.BF3(HO')	Kiln feed system for preheat tower #1 (alleviator) (421.AM2, & 421.AS9)	30500612
00075	5069	421.BF2	Kiln feed system for preheat tower #2 (421.BI2, 421.BE2, 421.AL2, 421.ASG, 421.AS4, 421.AS1, 421.BI1, 421.AL1, & 421.ASF)	30500612
00076	5069	421.BF1	Kiln feed system (ground level)   (421.AM1, 421.AS7)	30500612
00077	5069	476.BF1	Raw and Pulverized Coal Bins	30500621
00078	5069	476.BF2	Raw and Pulverized Coal Bins	30500621
00079	5069	476.BF4	Raw and Pulverized Coal Bins	30500621
00080	5069	471.BF1	Reciprocating Grate Clinker Cooler Vent (CC)	30500614
00081	5069	491.BF8(CM')	Clinker silos (532.SI6, 532.SI9, 532.SI3, 532.SI4, 532.SI5, 532.SI2, & 491.CV8)	30500699
00082	5069	521.BF4(CM')	Clinker silo (491.CV3, 532.SI1)	30500699
00083	5069	523.BF3	523.SI2 and 523.SI4 via 523.CHV to 523.BC4	30500616
00084	5069	523.BF2	new clinker loadout (523.HP4 to Hood on Truck, 523.LS2)	30500616
00085	5069	532.BF6	Material conveying into finish mill #2 (532.BC1, 532.BC2, 532.BC3, 532.BC4 & 531.BC3)	30500616
00086	5069	542.BF2(CM')	Finish mill #2 vent (542.BM1 & 542.SC2) and surge hopper 542.HP1	30500616
00087	5069	542.BF3	Material handling into finish mill #2 separator (542.SR1, 592.AS2,592.CQ1, 592.AS3, 592.PP1, 592.CQ1, 542.AS1 & 542.SC3)	30500616
00088	5069	542.BF1(CM')	Finish mill #2 conveying equipment (542.AS2, 542.BE1 & 542.AS3)	30500616
00089	5069	531.BF1	Material conveying into finish mill #1 (531.BE1)	30500616
00090	5069	541.BF2	Transfer between belt conveyors for material handling to finish mill #1 (531.BC2, 541.AS1, 541.AS2, 541.AS3 & 541.BE1)	30500616
