00234	AW	100-42-5	Styrene	% Weight Pollutant	0.6	lbs/yr	2.28	lbs/yr	2.5079999999999996
00235	AW	100-42-5	Styrene	% Weight Pollutant	0.6	lbs/yr	0.084	lbs/yr	0.09
00239	AZ	108-88-3	Toluene	% Weight Pollutant	1	lbs/yr	40.0	lbs/yr	40.0
00240	BI	1330-20-7	Xylenes (mixed) including:	% Weight Pollutant	0.01	lbs/yr	3.14	lbs/yr	3.14
00243	Z	7631-86-9	Silica, crystalline (respirable)	% Weight Pollutant	0.4
00244	AB	7440-66-6	Zinc	% Weight Pollutant	0.000711
00245	AA	1310-73-2	Sodium hydroxide	% Weight Pollutant	0.0005
00247	Y	1330-20-7	Xylenes (mixed) including:	% Weight Pollutant	0.03	lbs/yr	870.573	lbs/yr	1023.0
00246	V	111-46-6	Diethylene glycol	% Weight Pollutant	0.55	lbs/yr	54796.58250000001	lbs/yr	58368.75000000001
00255	N	79-06-1	Acrylamide	% Weight Pollutant	0.001	lbs/yr	0.0	lbs/yr	0.0
00253	Q	7782-50-5	Chlorine	% Weight Pollutant	0.05956375838926174	lbs/yr	0.07743288590604094	lbs/yr	0.09119321712652269
00254	T	7664-38-2	Phosphoric acid	% Weight Pollutant	0.75	lbs/yr	1087.1190000000001	lbs/yr	1280.3071698717947
00262	N	7782-50-5	Chlorine	% Weight Pollutant	0.05956375838926174	lbs/yr	42.14526644295312	lbs/yr	42.14526644295312
00265	N	7782-50-5	Chlorine	% Weight Pollutant	0.995	lbs/yr	1492.5	lbs/yr	1492.5
00264	W	7664-93-9	Sulfuric acid	% Weight Pollutant	0.01	lbs/yr	43.53479999999981	lbs/yr	0.0
00263	T	1310-73-2	Sodium hydroxide	% Weight Pollutant	0.2	lbs/yr	0.0	lbs/yr	0.0
00297	P	67-63-0	Isopropyl alcohol	% Weight Pollutant	1	lbs/yr	201	lbs/yr	201
00298	S	91-20-3	Naphthalene	% Weight Pollutant	0.95	lbs/yr	807.5	lbs/yr	2470
00299	O	75-21-8	Ethylene oxide	% Weight Pollutant	1	lbs/yr	5.512000000000005	lbs/yr	8.000000000000007
00312	Q	67-56-1	Methanol	% Weight Pollutant	0.014
00314	P	107-21-1	Ethylene glycol	% Weight Pollutant	0.01
00315	O	7429-90-5	Aluminum	% Weight Pollutant	0.5
00319	Q	67-56-1	Methanol	% Weight Pollutant	0.014
00321	P	107-21-1	Ethylene glycol	% Weight Pollutant	0.01
00322	O	7429-90-5	Aluminum	% Weight Pollutant	0.5
00337	Y	108-88-3	Toluene	% Weight Pollutant	0.101
00347	Y	108-88-3	Toluene	% Weight Pollutant	0.016
00348	Y	108-88-3	Toluene	% Weight Pollutant	0.03
00350	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.005
00351	Y	108-88-3	Toluene	% Weight Pollutant	0.022
00352	Y	108-88-3	Toluene	% Weight Pollutant	0.028
00353	Y	108-88-3	Toluene	% Weight Pollutant	0.043
00354	Y	108-88-3	Toluene	% Weight Pollutant	0.024
00355	Y	108-88-3	Toluene	% Weight Pollutant	0.028
00358	Y	108-88-3	Toluene	% Weight Pollutant	0.05
00359	Y	108-88-3	Toluene	% Weight Pollutant	0.002
00360	Y	108-88-3	Toluene	% Weight Pollutant	0.034
00361	Y	108-88-3	Toluene	% Weight Pollutant	0.022
00362	Y	108-88-3	Toluene	% Weight Pollutant	0.024
00368	Y	108-88-3	Toluene	% Weight Pollutant	0.113
00369	Y	108-88-3	Toluene	% Weight Pollutant	0.064
00371	Y	108-88-3	Toluene	% Weight Pollutant	0.044
00377	Y	108-88-3	Toluene	% Weight Pollutant	0.132
00392	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.005
00398	AB	67-56-1	Methanol	% Weight Pollutant	0.136
00417	Y	108-88-3	Toluene	% Weight Pollutant	0.055
00418	Y	108-88-3	Toluene	% Weight Pollutant	0.033
00440	W	95-63-6	1,2,4-Trimethylbenzene	% Weight Pollutant	0.032
00441	Y	108-88-3	Toluene	% Weight Pollutant	0.005
00333	T	1330-20-7	Xylene	% Weight Pollutant	0.002
00341	T	1330-20-7	Xylene	% Weight Pollutant	0.009
00345	AA	67-63-0	Isopropyl alcohol	% Weight Pollutant	0.178
00356	Y	108-88-3	Toluene	% Weight Pollutant	0.051
00357	T	1330-20-7	Xylene	% Weight Pollutant	0.285
00363	T	1330-20-7	Xylene	% Weight Pollutant	0.287
00364	W	95-63-6	1,2,4-Trimethylbenzene	% Weight Pollutant	0.003
00365	Y	108-88-3	Toluene	% Weight Pollutant	0.079
00366	V	78-93-3	Methyl ethyl ketone	% Weight Pollutant	0.029
00367	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.003
00370	T	1330-20-7	Xylene	% Weight Pollutant	0.268
00372	Y	108-88-3	Toluene	% Weight Pollutant	0.036
00373	Y	108-88-3	Toluene	% Weight Pollutant	0.041
00374	Y	108-88-3	Toluene	% Weight Pollutant	0.016
00375	Y	108-88-3	Toluene	% Weight Pollutant	0.043
00378	Y	108-88-3	Toluene	% Weight Pollutant	0.05
00380	Y	108-88-3	Toluene	% Weight Pollutant	0.042
00381	T	1330-20-7	Xylene	% Weight Pollutant	0.421
00383	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.13
00384	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.056
00395	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.016
00396	T	1330-20-7	Xylene	% Weight Pollutant	0.008
00399	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.106
00409	W	95-63-6	1,2,4-Trimethylbenzene	% Weight Pollutant	0.002
00410	W	95-63-6	1,2,4-Trimethylbenzene	% Weight Pollutant	0.002
00412	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.023
00413	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.039
00416	Y	108-88-3	Toluene	% Weight Pollutant	0.048
00419	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.004
00420	Y	108-88-3	Toluene	% Weight Pollutant	0.112
00421	W	95-63-6	1,2,4-Trimethylbenzene	% Weight Pollutant	0.006
00422	W	95-63-6	1,2,4-Trimethylbenzene	% Weight Pollutant	0.004
00423	W	95-63-6	1,2,4-Trimethylbenzene	% Weight Pollutant	0.004
00424	W	95-63-6	1,2,4-Trimethylbenzene	% Weight Pollutant	0.003
00425	W	95-63-6	1,2,4-Trimethylbenzene	% Weight Pollutant	0.004
00426	Y	108-88-3	Toluene	% Weight Pollutant	0.107
00427	T	1330-20-7	Xylene	% Weight Pollutant	0.044
00428	T	1330-20-7	Xylene	% Weight Pollutant	0.044
00431	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.008
00432	T	1330-20-7	Xylene	% Weight Pollutant	0.013
00442	R	100-41-4	Ethyl benzene	% Weight Pollutant	0.096
00376	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.006
00379	V	78-93-3	Methyl ethyl ketone	% Weight Pollutant	0.05
00386	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.055
00387	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.065
00388	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.068
00389	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.004
00390	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.062
00391	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.004
00414	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.003
00429	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.012
00430	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.006
00433	T	1330-20-7	Xylene	% Weight Pollutant	0.003
00434	T	1330-20-7	Xylene	% Weight Pollutant	0.002
00435	S	108-65-6	<html> <b> Propylene glycol monomethyl ether acetate</b></html>	% Weight Pollutant	0.038
00436	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.008
00437	S	108-65-6	<html> <b> Propylene glycol monomethyl ether acetate</b></html>	% Weight Pollutant	0.021
00438	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.008
00445	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.128
00339	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.098
00340	T	1330-20-7	Xylene	% Weight Pollutant	0.01
00342	V	78-93-3	Methyl ethyl ketone	% Weight Pollutant	0.096
00343	V	78-93-3	Methyl ethyl ketone	% Weight Pollutant	0.049
00344	V	78-93-3	Methyl ethyl ketone	% Weight Pollutant	0.117
00415	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.03
00401	U	111-76-2	Ethylene glycol monobutyl ether	% Weight Pollutant	0.1
00402	U	111-76-2	Ethylene glycol monobutyl ether	% Weight Pollutant	0.1
00403	U	111-76-2	Ethylene glycol monobutyl ether	% Weight Pollutant	0.1
00404	U	111-76-2	Ethylene glycol monobutyl ether	% Weight Pollutant	0.1
00405	U	111-76-2	Ethylene glycol monobutyl ether	% Weight Pollutant	0.1
00406	U	111-76-2	Ethylene glycol monobutyl ether	% Weight Pollutant	0.1
00407	U	111-76-2	Ethylene glycol monobutyl ether	% Weight Pollutant	0.1
00408	U	111-76-2	Ethylene glycol monobutyl ether	% Weight Pollutant	0.1
00443	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.011
00335	Y	108-88-3	Toluene	% Weight Pollutant	0.001
00338	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.005
00346	AA	67-63-0	Isopropyl alcohol	% Weight Pollutant	0.386
00393	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.204
00444	Z	108-10-1	Methyl isobutyl ketone	% Weight Pollutant	0.008
00448	R	7440-66-6	Zinc	% Weight Pollutant	0.01
00455	AB	121-44-8	Triethylamine	% Weight Pollutant	0.0175	lbs/yr	108.677653875	lbs/yr	141.29200575000002
00464	P	106-94-5	1-Bromopropane	% Weight Pollutant	0.9	lbs/yr	853.47	lbs/yr	853.47
00472	BO	1330-20-7	Xylenes (mixed) including:	% Weight Pollutant	0.0385570083103903	lbs/yr	1032.90215334671	lbs/yr	1032.90215334671
