00062	271.BF1	Clay/shale crusher 271.CR1 (Hazmag impact crusher)	30504615	9303
00063	252.BF1 (formerly EP 15, 18, 19, 20 & 21)	252.SN1 SCREEN & FOUR BELT TRANSFERS	30532006	9303
00064	EP 7	PRIMARY CRUSHER 232.CR1	30532001	9303
00065	EP 17	252.CR1 CRUSHER (Secondary Crusher)	30532002	9303
00066	T1-T6	Portable screen plant to process 22,500 Mg/yr rock to produce stemming for quarry	30532004	9303
00067	341.BF1	Iron ore, shale, clay and clean rock storage silos	30500699	9303
00068	351.BF2	Raw material conveyors (351.BC2 to 351.BC3)	30500612	9303
00069	351.BF3	Discharge of raw material feeders (351.WF1, 351.WF2, 351.WF3, 351.WF4, 351.WF5, and 351.BC1 to 351.BC2)	30500612	9303
00070	351.BF4 - new	351.CHB to truck	30500612	9303
00071	371.BF1	Raw meal conveyors  (371.BE1, 371.AS3, 371.AS4, 371.AS5 & 411.SI1)	30500612	9303
00072	341.BF2	Chute onto screen (341.CH1) and emissions off screen itself (331.SN1) 	30532006	9303
00073	411.BF1	Air slide for the raw mix into blend silos (411.AS2 & 411.SI2)	30500612	9303
00074	421.BF3(HO')	Kiln feed system for preheat tower #1 (alleviator) (421.AM2, & 421.AS9)	30500612	9303
00075	421.BF2	Kiln feed system for preheat tower #2 (421.BI2, 421.BE2, 421.AL2, 421.ASG, 421.AS4, 421.AS1, 421.BI1, 421.AL1, & 421.ASF)	30500612	9303
00076	421.BF1	Kiln feed system (ground level)   (421.AM1, 421.AS7)	30500612	9303
00077	476.BF1	Raw and Pulverized Coal Bins	30500621	9303
00078	476.BF2	Raw and Pulverized Coal Bins	30500621	9303
00079	476.BF4	Raw and Pulverized Coal Bins	30500621	9303
00080	471.BF1	Reciprocating Grate Clinker Cooler Vent (CC)	30500614	9303
00081	491.BF8(CM')	Clinker silos (532.SI6, 532.SI9, 532.SI3, 532.SI4, 532.SI5, 532.SI2, & 491.CV8)	30500699	9303
00082	521.BF4(CM')	Clinker silo (491.CV3, 532.SI1)	30500699	9303
00083	523.BF3	523.SI2 and 523.SI4 via 523.CHV to 523.BC4	30500616	9303
00084	523.BF2	new clinker loadout (523.HP4 to Hood on Truck, 523.LS2)	30500616	9303
00085	532.BF6	Material conveying into finish mill #2 (532.BC1, 532.BC2, 532.BC3, 532.BC4 & 531.BC3)	30500616	9303
00086	542.BF2(CM')	Finish mill #2 vent (542.BM1 & 542.SC2) and surge hopper 542.HP1	30500616	9303
00087	542.BF3	Material handling into finish mill #2 separator (542.SR1, 592.AS2,592.CQ1, 592.AS3, 592.PP1, 592.CQ1, 542.AS1 & 542.SC3)	30500616	9303
00088	542.BF1(CM')	Finish mill #2 conveying equipment (542.AS2, 542.BE1 & 542.AS3)	30500616	9303
00089	531.BF1	Material conveying into finish mill #1 (531.BE1)	30500616	9303
00090	541.BF2	Transfer between belt conveyors for material handling to finish mill #1 (531.BC2, 541.AS1, 541.AS2, 541.AS3 & 541.BE1)	30500616	9303
00091	541.BF1	Separator for finish mill #1 (541.BM1, 541.SR1, 591.AS1, 591.CQ1 & 591.PP1)	30500616	9303
00092	611.BF8	Loading bins (611.BE1, 611.SC8, 611.SC9, 622.BI1, 622.BI2, 622.BI3, 621.BI1, 621.BI2 & 621.BI3)	30500619	9303
00093	611.BF1(CP')	Cement silo #1 (611.SI1)	30500618	9303
00094	611.BF2(CP')	Cement silo #2 (611.SI2)	30500618	9303
00095	611.BF3(CP')	Cement silo #3 (611.SI3)	30500618	9303
00096	611.BF4	Cement silo #4 (611.SI4)	30500618	9303
00097	611.BF5	Cement storage dome (611.SI5)	30500618	9303
00098	622.BF1(CP')	Rail car loading spout (622.LS1)	30500619	9303
00099	621.BF1(CP')	Truck loading spout (621.LS1)	30500619	9303
00100	521.BF1	Rail car unloading hopper (521.BC1)	30500607	9303
00101	521.BF5	new coal receiving / reclaim system (521.VF3 to 521.BCA)	30500608	9303
00102	521.BF5	new coal receiving / reclaim system (521.VF3 to 521.BCA)	30500607	9303
00103	521.BF6	new coal receiving / reclaim system (521.BCA to 521.BCB)	30500608	9303
00104	521.BF6	new coal receiving / reclaim system (521.BCA to 521.BCB)	30500607	9303
00105	521.BF2(KG')	Conveying system for gypsum/clinker/coal silo loading (521.SC1, 521.SC2, 521.BC3, 521.BE1& 521.BC7, 476.BC1, 521.EE1, 521.HP3)	30500607	9303
00106	521.BF2(KG')	Conveying system for gypsum/clinker/coal silo loading (521.SC1, 521.SC2, 521.BC3, 521.BE1& 521.BC7, 476.BC1, 521.EE1, 521.HP3)	30500608	9303
00107	521.BF3(KG')	Conveying system for gypsum/clinker/coal silo/pile loading  (521.BC5, 521.BC4, 521.LS1)	30500607	9303
00108	521.BF3(KG')	Conveying system for gypsum/clinker/coal silo/pile loading  (521.BC5, 521.BC4, 521.LS1)	30500608	9303
00109	532.BF5(KG')	Finish mill feed system (532.WF2, 532.WF4, 532.WF6, 532.WF7 & 531.BC1)	30500616	9303
00110	PT-FU-02A	  Coal Pile	30500608	9303
00111	PT-FU-02B	  Coal Pile	30510303	9303
00112	PT-FU-03A	  Gypsum Pile	30500607	9303
00113	PT-FU-03B	  Gypsum Pile	30510399	9303
00114	PT-FU-04A	  Iron Ore Pile	30500607	9303
00115	PT-FU-04B	  Iron Ore Pile	30510399	9303
00116	PT-FU-05A	  Clinker Pile	30500616	9303
00117	PT-FU-05B	  Clinker Pile	30510399	9303
00118	PT-FU-08	  Chemical Grade Limestone Pit and Loadout, Coal/Clinker/Gypsum Reclaim Pit	30500607	9303
00119	PT-FU-08	  Chemical Grade Limestone Pit and Loadout, Coal/Clinker/Gypsum Reclaim Pit	30500621	9303
00120	OP2	Remote Stack Yard - SE of Primary Crusher - Includes Sugar Rock, Stemming Rock and Sugar Rock Fines	30510302	9303
00121	OP5	   Cement Rock near Old Secondary	30510302	9303
00122	OP8	   High Alumina - Near shale pit north of shale crusher	30510399	9303
00123	OP9	   Low Alumina - Near shale pit north of shale crusher	30510399	9303
00124	OP10	   Stemming Rock	30510305	9303
00125	431.BF1 & 476.BF3	Pyroprocessing	30500606	9303
00126	431.BF1 & 476.BF3	Pyroprocessing	30500606	9303
00127	431.BF1 & 476.BF3	Pyroprocessing	30500606	9303
00128	431.BF1 & 476.BF3	Pyroprocessing	30500606	9303
00129	431.BF1 & 476.BF3	Pyroprocessing	30500606	9303
00130	431.BF1 & 476.BF3	Pyroprocessing	30500606	9303
00131	431.BF1 & 476.BF3	Pyroprocessing	30500606	9303
00132	Boiler Natural Gas	Boiler Natural Gas	10200603	9303
00133	Fuel Gas Heater	Boiler Natural Gas	10200603	9303
00134	Recip Engine Unit 1	Reciprocating Engine	20200252	9303
00135	Recip Engine Unit 2	Reciprocating Engine	20200252	9303
00136	Recip Engine Unit 3	Reciprocating Engine	20200252	9303
00137	Recip Enginer Unit 4	Reciprocating Engine	20200252	9303
00138	Emergency Generator	Reciprocating Engine	20200253	9303
00150	Transit Mixed Concrete Plant	Concrete yards batched	6597
00151	Boiler	Hot Water Heater	6597
00160	Corvallis RMC 02-2125	Transit mixed concrete cubic yards	6597
00161	Corvallis RMC PFU	Plant Fuel Use - Hot water	6597
00174	RF_CFU	Rotary Fine (CFU)	--	9303
00175	RC_SCR	Rotary Coarse (Wet Scrubber)	--	9303
00176	URC_SCR	Ultra Rotary Coarse (Wet Scrubber)	--	9303
00177	FB_CFU	Flameblown (CFU)	--	9303
00178	GM_SCR	Glass Melt (Wet Scrubber)	--	9303
00179	NATGAS	Total Natural Gas Combustion	--	9303
00180	Energy Center Boilers Natural Gas	Boiler Natural Gas	NA	9303
00181	Corvallis Campus Building Boilers	Boiler Natural Gas	NA	9303
00182	Energy Center Boilers Diesel #2	Boiler Diesel #2	NA	9303
00183	Engine > 600 HP Diesel #2	Engine >600 HP Diesel #2	NA	9303
00184	Engine < 600 HP Diesel #2	Engine < 600 HP Diesel #2	NA	9303
00185	Energy Center CTG/HRSG Natural Gas	Turbine Natural Gas	NA	9303
00186	Energy Center CTG Diesel #2	Turbine Diesel #2	NA	9303
00187	Animal Crematory Natural Gas	Animal Crematory Natural Gas	2810060200	9303
00188	Boiler	NA	NA	9303
00189	Kilns - Hemlock	NA	NA	9303
00190	Kilns - Douglas Fir	NA	NA	9303
