"address","lat","lon","clean_address"
"17819 NE Riverside Pkwy Ste A, Portland, OR 97230",45.5552407,-122.4801477,"17819 NE Riverside Pkwy Ste A, Portland, OR 97230, USA"
"17819 NE Riverside Pkwy Ste B, Portland, OR 97230",45.5552407,-122.4801477,"17819 NE Riverside Pkwy Ste B, Portland, OR 97230, USA"
"1067 NE COLUMBIA BLVD, PORTLAND, OR 97211",45.5792314,-122.6525896,"1067 NE Columbia Blvd, Portland, OR 97211, USA"
"0319 SW TAYLORS FERRY RD, PORTLAND, OR 97219",45.4662633,-122.6740293,"0319 SW Taylors Ferry Rd, Portland, OR 97219, USA"
"6705 SE 14TH AVE, PORTLAND, OR 97202",45.4747258,-122.6519397,"6705 SE 14th Ave, Portland, OR 97202, USA"
"24450 W COLUMBIA, TROUTDALE, OR 97060",45.5409556,-122.3882011,"107 E Historic Columbia River Hwy, Troutdale, OR 97060, USA"
"4733 NE THOMPSON, PORTLAND, OR 97213",45.5393229,-122.6143798,"4733 NE Thompson St, Portland, OR 97213, USA"
"520 W BLVD POWELL, GRESHAM, OR 97030",45.4966704,-122.4372963,"520 Powell Blvd, Gresham, OR 97030, USA"
"0300 SW TAYLORS FERRY, PORTLAND, OR 97219",45.465461,-122.6733241,"300 SW Taylors Ferry Rd, Portland, OR 97219, USA"
"4835 NE PACIFIC ST, PORTLAND, OR 97213",45.5300651,-122.6130353,"4835 Northeast Pacific Street, Portland, OR 97213, USA"
"N LOMBARD ST FOOT OF, PORTLAND, OR 97203",45.5873615,-122.7401636,"N Lombard St, Portland, OR 97203, USA"
"15840 N SIMMONS RD, PORTLAND, OR 97203",45.6396287,-122.7677151,"15840 N Simmons Rd, Portland, OR 97203, USA"
"9945 N Burgard Way, Portland, OR 97203",45.6134073,-122.7786461,"9945 N Burgard Way, Portland, OR 97203, USA"
"2429 N BORTHWICK AVE, PORTLAND, OR 97227",45.5403283,-122.6743906,"2429 N Borthwick Ave, Portland, OR 97227, USA"
"1225 W BURNSIDE ST, PORTLAND, OR 97209",45.52306,-122.683661,"1225 W Burnside St, Portland, OR 97209, USA"
"4600 SE HARNEY DR, PORTLAND, OR 97206",45.4618171,-122.6135536,"4600 SE Harney Dr, Portland, OR 97206, USA"
"1233 NW 12TH AVE, PORTLAND, OR 97209",45.5316916,-122.6838871,"1233 NW 12th Ave, Portland, OR 97209, USA"
"1501 SW JEFFERSON ST, PORTLAND, OR 97201",45.5180112,-122.6892458,"1501 SW Jefferson St, Portland, OR 97201, USA"
"5001 N. COLUMBIA BLVD., PORTLAND, OR 97203",45.5958096,-122.7185389,"5001 N Columbia Blvd, Portland, OR 97203, USA"
"18480 SE STARK ST, GRESHAM, OR 97223",45.5188955,-122.4730525,"18480 SE Stark St, Portland, OR 97233, USA"
"14355 N BYBEE LAKE CT, PORTLAND, OR 97203",45.626056,-122.757439,"14355 N Bybee Lake Ct, Portland, OR 97203, USA"
"1401 NE 68TH AVE, PORTLAND, OR 97213",45.5314275,-122.5949953,"1401 NE 68th Ave, Portland, OR 97213, USA"
"7832 N LEADBETTER RD, PORTLAND, OR 97203",45.6322915,-122.7566024,"7832 N Leadbetter Rd, Portland, OR 97217, USA"
"1201 SE 3RD AVE, PORTLAND, OR 97214",45.5142188,-122.6632108,"1201 SE 3rd Ave, Portland, OR 97214, USA"
"8120 NE 33RD DR, PORTLAND, OR 97211",45.5821897,-122.6321734,"8120 NE 33rd Dr, Portland, OR 97211, USA"
"1303 N RIVER ST, PORTLAND, OR 97227",45.5406058,-122.6813466,"1303 N River St, Portland, OR 97227, USA"
"2800 NW FRONT AVE, PORTLAND, OR 97210",45.544777,-122.6964338,"2800 NW Front Ave, Portland, OR 97210, USA"
"7559 NE 33RD DRIVE, PORTLAND, OR 97211",45.5778203,-122.6364417,"7559 NE 33rd Dr, Portland, OR 97211, USA"
"1532 SE 3RD AVENUE, PORTLAND, OR 97214",45.5118286,-122.6625194,"1532 SE 3rd Ave, Portland, OR 97214, USA"
"5565 N DOLPHIN ST, PORTLAND, OR 97217",45.5629541,-122.7156552,"5565 N Dolphin St, Portland, OR 97217, USA"
"5534 NE 122ND AVE, PORTLAND, OR 97230",45.5626966,-122.5315426,"5534 NE 122nd Ave, Portland, OR 97230, USA"
"4706 SE 18TH AVE, PORTLAND, OR 97202",45.4886497,-122.6470497,"The Lynch Company in Portland, OR, USA, 4706 SE 18th Ave, Portland, OR 97202, USA"
"310 SE STEPHENS ST, PORTLAND, OR 97214",45.50914,-122.6621912,"310 SE Stephens St, Portland, OR 97214, USA"
"7116 SE 92ND AVE, PORTLAND, OR 97266",45.4712142,-122.5672064,"7116 SE 92nd Ave, Portland, OR 97266, USA"
"8752 NE SANDY BLVD, PORTLAND, OR 97220",45.5545102,-122.5726497,"8752 NE Sandy Blvd, Portland, OR 97220, USA"
"23585 NE SANDY BLVD, WOOD VILLAGE, OR 97060",45.5440792,-122.4198234,"23585 NE Sandy Blvd, Wood Village, OR 97060, USA"
"11711 SE 82ND AVE, PORTLAND, OR 97266",45.4375474,-122.5792148,"11711 SE 82nd Ave, Happy Valley, OR 97086, USA"
"6708 NE GLISAN, PORTLAND, OR 97213",45.5262671,-122.5942386,"6708 NE Glisan St, Portland, OR 97213, USA"
"8500 N COLUMBIA BLVD, PORTLAND, OR 97203",45.6014799,-122.7441938,"8500 N Columbia Blvd, Portland, OR 97203, USA"
"4031 SE 26TH, PORTLAND, OR 97202",45.4936143,-122.6398816,"4031 SE 26th Ave, Portland, OR 97202, USA"
"1418 NE 119TH AVE, PORTLAND, OR 97220",45.5329074,-122.5400962,"1418 NE 119th Ave, Portland, OR 97220, USA"
"2400 NE HOLLADAY ST, PORTLAND, OR 97232",45.5297952,-122.6411315,"2400 NE Holladay St, Portland, OR 97232, USA"
"9127 SE STARK ST, PORTLAND, OR 97216",45.5192631,-122.5694955,"9127 SE Stark St, Portland, OR 97216, USA"
"6805 SW MACADAM AVE, PORTLAND, OR 97219",45.4749665,-122.67194,"6805 SW Macadam Ave, Portland, OR 97219, USA"
"10510 SE REEDWAY ST, PORTLAND, OR 97266",45.4807681,-122.5542419,"10510 SE Reedway St, Portland, OR 97266, USA"
"10310 SE FOSTER RD, PORTLAND, OR 97266",45.4765712,-122.5573655,"10310 SE Foster Rd, Portland, OR 97266, USA"
"10033 E BURNSIDE ST, PORTLAND, OR 97216",45.522853,-122.56008,"10033 E Burnside St, Portland, OR 97216, USA"
"801 N LOMBARD ST, PORTLAND, OR 97217",45.5773705,-122.6750223,"801 N Lombard St, Portland, OR 97217, USA"
"1300 NE DIVISION ST, GRESHAM, OR 97030",45.504472,-122.4177316,"1300 NE Division St, Gresham, OR 97030, USA"
"637 SE SALMON ST, PORTLAND, OR 97214",45.5146263,-122.6589816,"Industrial Building in OR, USA, 637 SE Salmon St, Portland, OR 97214, USA"
"10000 SE ANKENY ST, PORTLAND, OR 97216",45.522156,-122.560534,"10000 SE Ankeny St, Portland, OR 97216, USA"
"1925 E POWELL BLVD, GRESHAM, OR 97080",45.4968005,-122.4114792,"1925 Powell Blvd, Gresham, OR 97080, USA"
"901 NE GERTZ RD, PORTLAND, OR 97211",45.5912917,-122.6561506,"901 NE Gertz Rd, Portland, OR 97211, USA"
"4030 NE BUFFALO ST, PORTLAND, OR 97211",45.5758586,-122.6220074,"4030 NE Buffalo St, Portland, OR 97211, USA"
"8070 NE AIRTRANS WAY, PORTLAND, OR 97218",45.5825617,-122.6046163,"8070 NE Airtrans Way, Portland, OR 97218, USA"
"3000 N HAYDEN ISLAND DR, PORTLAND, OR 97217",45.6189192,-122.695111,"3000 N Hayden Island Dr, Portland, OR 97217, USA"
"7510 N DELAWARE AVE, PORTLAND, OR 97217",45.5773708,-122.6922143,"7510 N Delaware Ave, Portland, OR 97217, USA"
"4709 NE 148TH AVE, PORTLAND, OR 97230",45.5569939,-122.5108909,"4709 NE 148th Ave, Portland, OR 97230, USA"
"2425 NW 23RD PL, PORTLAND, OR 97210",45.5401537,-122.7005712,"2425 NW 23rd Pl, Portland, OR 97210, USA"
"14400 N RIVERGATE BLVD, PORTLAND, OR 97203",45.6289163,-122.7801347,"14400 N Rivergate Blvd, Portland, OR 97203, USA"
"9710 NE Glass Plant Road, PORTLAND, OR 97220",45.564053,-122.5662207,"9710 NE Glass Plant Rd, Portland, OR 97220, USA"
"5501 NW FRONT AVE, PORTLAND, OR 97210",45.5621522,-122.7382534,"5501 NW Front Ave, Portland, OR 97210, USA"
"5531 NW DOANE AVE, PORTLAND, OR 97210",45.5621893,-122.742167,"5531 NW Doane Ave, Portland, OR 97210, USA"
"5880 NW ST HELENS RD, PORTLAND, OR 97210",45.5653613,-122.7450504,"5880 NW St Helens Rd, Portland, OR 97210, USA"
"9930 NW SAINT HELENS RD, PORTLAND, OR 97231",45.5940564,-122.7794909,"9930 NW St Helens Rd, Portland, OR 97231, USA"
"2141 NW 25TH AVE, PORTLAND, OR 97210",45.537155,-122.703252,"2141 NW 25th Ave, Portland, OR 97210, USA"
"6936 N FATHOM ST, PORTLAND, OR 97217",45.572814,-122.7140405,"6936 N Fathom St, Portland, OR 97217, USA"
"12005 N BURGARD WAY, PORTLAND, OR 97203",45.608901,-122.7778371,"12005 N Burgard Way, Portland, OR 97203, USA"
"3400 N MARINE DR, PORTLAND, OR 97217",45.6213559,-122.7292906,"3400 N Marine Dr, Portland, OR 97217, USA"
"4700 NW FRONT AVE, PORTLAND, OR 97210",45.5571824,-122.7253804,"4700 NW Front Ave, Portland, OR 97210, USA"
"2301 N COLUMBIA BLVD, PORTLAND, OR 97217",45.5888913,-122.6914504,"2301 N Columbia Blvd, Portland, OR 97217, USA"
"11910 NW SAINT HELENS RD, PORTLAND, OR 97231",45.6149712,-122.8019748,"11910 NW St Helens Rd, Portland, OR 97231, USA"
"5555 N CHANNEL AVE BLDG 71, PORTLAND, OR 97217",45.5648702,-122.7190574,"5555 N Channel Ave BLDG 71, Portland, OR 97217, USA"
"9363 N COLUMBIA BLVD, PORTLAND, OR 97203",45.6085647,-122.7575725,"9363 N Columbia Blvd, Portland, OR 97203, USA"
"18456 NE WILKES RD, GRESHAM, OR 97230",45.540224,-122.4726233,"18456 NE Wilkes Rd, Portland, OR 97230, USA"
"6123 N MARINE DR, PORTLAND, OR 97203",45.6262371,-122.7361933,"6123 N Marine Dr, Portland, OR 97203, USA"
"23400 NE GLISAN ST, GRESHAM, OR 97030",45.5248576,-122.4264415,"23400 NE Glisan St, Gresham, OR 97030, USA"
"8735 N HARBORGATE ST, PORTLAND, OR 97203",45.622198,-122.766172,"8735 N Harborgate St, Portland, OR 97203, USA"
"9269 N BRADFORD ST, PORTLAND, OR 97203",45.5915901,-122.763225,"9269 N Bradford St, Portland, OR 97203, USA"
"701 N HUNT ST, PORTLAND, OR 97217",45.5858993,-122.6730007,"701 N Hunt St, Portland, OR 97217, USA"
"TROUTDALE REYNOLDS INDUSTRIAL PK LOT 3, TOUTDALE, OR 97060",45.5396297,-122.3920584,"Troutdale, OR 97060, USA"
"3366 NW YEON AVE, PORTLAND, OR 97210",45.5476557,-122.7092202,"3366 NW Yeon Ave, Portland, OR 97210, USA"
"3750 NW YEON AVE, PORTLAND, OR 97210",45.5483628,-122.7197111,"3750 NW Yeon Ave, Portland, OR 97210, USA"
"10425 N BLOSS AVE, PORTLAND, OR 97203",45.5987215,-122.7297188,"10425 N Bloss Ave, Portland, OR 97203, USA"
"14003 N RIVERGATE BLVD, PORTLAND, OR 97203",45.6249139,-122.7829732,"14003 N Rivergate Blvd, Portland, OR 97203, USA"
"13939 N RIVERGATE BLVD, PORTLAND, OR 97203",45.6233589,-122.7809574,"13939 N Rivergate Blvd, Portland, OR 97203, USA"
"17401 NE HALSEY ST, PORTLAND, OR 97230",45.5354849,-122.48313,"17401 NE Halsey St, Portland, OR 97230, USA"
"3131 N COLUMBIA BLVD, PORTLAND, OR 97217",45.5910333,-122.7006253,"3131 N Columbia Blvd, Portland, OR 97217, USA"
"900 N THUNDERBIRD WAY, PORTLAND, OR 97227",45.5294743,-122.6692647,"900 N Thunderbird Way, Portland, OR 97227, USA"
"800 N RIVER ST., PORTLAND, OR 97227",45.535218,-122.6745317,"800 N River St, Portland, OR 97227, USA"
"5528 NW DOANE AVE, PORTLAND, OR 97210",45.5611752,-122.7413009,"5528 NW Doane Ave, Portland, OR 97210, USA"
"6350 NW FRONT AVE, PORTLAND, OR 97210",45.5681645,-122.7431833,"6350 NW Front Ave, Portland, OR 97210, USA"
"19000 NE SANDY BLVD, PORTLAND, OR 97230",45.543788,-122.4668402,"19000 NE Sandy Blvd, Portland, OR 97230, USA"
"3800 NW ST HELENS RD, PORTLAND, OR 97210",45.5498301,-122.7272452,"3800 NW St Helens Rd, Portland, OR 97210, USA"
"3000 NW SAINT HELENS RD, PORTLAND, OR 97210",45.5438396,-122.7211791,"3000 NW St Helens Rd, Portland, OR 97210, USA"
"15660 N LOMBARD ST, PORTLAND, OR 97203",45.640606,-122.770543,"15660 N Lombard St, Portland, OR 97203, USA"
"11040 N LOMBARD ST, PORTLAND, OR 97203",45.6038221,-122.7730883,"11040 N Lombard St, Portland, OR 97203, USA"
"7320 NE AIRPORT WAY, PORTLAND, OR 97218",45.584319,-122.5840157,"7320 NE Airport Way, Portland, OR 97218, USA"
"2000 NW WILSON ST, PORTLAND, OR 97209",45.5380435,-122.6936527,"2000 NW Wilson St, Portland, OR 97209, USA"
"340 NE 11TH AVE, PORTLAND, OR 97232",45.5255939,-122.6552105,"340 NE 11th Ave, Portland, OR 97232, USA"
"100 NE COLUMBIA BLVD, PORTLAND, OR 97211",45.5811156,-122.665586,"100 NE Columbia Blvd, Portland, OR 97211, USA"
"7200 NW FRONT AVE, PORTLAND, OR 97210",45.5762708,-122.7505525,"7200 NW Front Ave, Portland, OR 97210, USA"
"11535 N FORCE AVE, PORTLAND, OR 97217",45.6061343,-122.693214,"11535 N Force Ave, Portland, OR 97217, USA"
"8435 NE KILLINGSWORTH ST, PORTLAND, OR 97220",45.5634963,-122.5759147,"8435 NE Killingsworth St, Portland, OR 97220, USA"
"2201 NE 201ST AVE, FAIRVIEW, OR 97024",45.5386357,-122.4577396,"2201 NE 201st Ave, Portland, OR 97230, USA"
"1621 SW TAYLOR, PORTLAND, OR 97205",45.520771,-122.689203,"1621 SW Taylor St, Portland, OR 97205, USA"
"4150 N SUTTLE RD, PORTLAND, OR 97217",45.6133781,-122.7111946,"4150 N Suttle Rd, Portland, OR 97217, USA"
"6031 NE 92ND DR, PORTLAND, OR 97220",45.56691,-122.568728,"6031 NE 92nd Dr, Portland, OR 97220, USA"
"3722 SE 21ST AVE, PORTLAND, OR 97202",45.4964817,-122.6442641,"3722 SE 21st Ave, Portland, OR 97202, USA"
"21015 SE STARK ST, GRESHAM, OR 97030",45.5214984,-122.4459973,"21015 SE Stark St, Gresham, OR 97030, USA"
"5325 NE SKYPORT WAY, PORTLAND, OR 97218",45.57616,-122.608452,"5325 NE Skyport Way, Portland, OR 97218, USA"
"6801 NE CORNFOOT RD, PORTLAND, OR 97218",45.5763093,-122.6047455,"6801 NE Cornfoot Rd, Portland, OR 97218, USA"
"4635 NE CORNFOOT RD, PORTLAND, OR 97218",45.5795766,-122.6135781,"4635 NE Cornfoot Rd, Portland, OR 97218, USA"
"4600 NE 138TH AVE, PORTLAND, OR 97230",45.5565739,-122.5198176,"4600 NE 138th Ave, Portland, OR 97230, USA"
"5825 NE SKYPORT WAY, PORTLAND, OR 97218",45.5747044,-122.6018902,"5825 NE Skyport Way, Portland, OR 97218, USA"
"6849 NE COLUMBIA BLVD, PORTLAND, OR 97218",45.5676584,-122.5919036,"6849 NE Columbia Blvd, Portland, OR 97218, USA"
"2985 N MARINE DR, PORTLAND, OR 97217",45.6118371,-122.697031,"2985 N Marine Dr, Portland, OR 97217, USA"
"2300 SE HOGAN ROAD, GRESHAM, OR 97080",45.4805558,-122.4119167,"2300 SE Hogan Rd, Gresham, OR 97080, USA"
"2840 NW 35TH AVE, PORTLAND, OR 97210",45.5439645,-122.7180366,"joumal Graphics in Portland, OR, USA, 2840 NW 35th Ave, Portland, OR 97210, USA"
"4424 NE 158TH AVE, PORTLAND, OR 97230",45.5545068,-122.498452,"4424 NE 158th Ave, Portland, OR 97230, USA"
"3737 N PORT CENTER WAY, PORTLAND, OR 97217",45.549104,-122.6927081,"3737 N Port Center Way, Portland, OR 97217, USA"
"3004 N Wygant St, Portland, OR 97217",45.5572858,-122.696797,"3004 N Wygant St, Portland, OR 97217, USA"
"6308 N. MARINE DRIVE, PORTLAND, OR 97203",45.6267327,-122.7405791,"6308 N Marine Dr, Portland, OR 97203, USA"
"4436 NE 158TH AVE, PORTLAND, OR 97230",45.555115,-122.4986435,"4436 NE 158th Ave, Portland, OR 97230, USA"
"18683 NE SANDY BLVD, GRESHAM, OR 97230",45.5471212,-122.4695276,"18683 NE Sandy Blvd, Portland, OR 97230, USA"
"866 N COLUMBIA BLVD, PORTLAND, OR 97217",45.5836327,-122.6753851,"866 N Columbia Blvd, Portland, OR 97217, USA"
"2406 NW 30TH AVE, PORTLAND, OR 97210",45.5395389,-122.7120303,"2406 NW 30th Ave, Portland, OR 97210, USA"
"4600 N SUTTLE RD, PORTLAND, OR 97217",45.615763,-122.7145435,"4600 N Suttle Rd, Portland, OR 97217, USA"
"6800 NE 59TH PL, PORTLAND, OR 97218",45.5710351,-122.6004418,"6800 NE 59th Pl, Portland, OR 97218, USA"
