"key","Pollutant","2016 Total Emissions (lbs)","2016 Total Uncontrolled Emissions (lbs)","2016 Total Other Emissions (lbs)","Is Heavy Metal"
"26-0027","Vanadium (fume or dust)","0.340","0.340","0.000","TRUE"
"26-0027","Nickel","0.314","0.314","0.000","TRUE"
"26-0027","Molybdenum trioxide","0.244","0.244","0.000","TRUE"
"26-0027","Chromium VI","0.207","0.207","0.000","TRUE"
"26-0027","1,3-Butadiene","0.181","0.181","0.000","FALSE"
"26-0027","Cadmium","0.164","0.164","0.000","TRUE"
"26-0027","Hydrochloric acid","0.155","0.155","0.000","FALSE"
"26-0027","Benzene","0.155","0.155","0.000","FALSE"
"26-0027","Copper and compounds","0.129","0.129","0.000","TRUE"
"26-0027","Naphthalene","0.107","0.107","0.000","FALSE"
"26-0027","Manganese","0.059","0.059","0.000","TRUE"
"26-0027","Mercury","0.040","0.040","0.000","TRUE"
"26-0027","Xylenes (mixed) including:","0.035","0.035","0.000","FALSE"
"26-0027","Arsenic","0.031","0.031","0.000","TRUE"
"26-0027","Acrolein","0.028","0.028","0.000","FALSE"
"26-0027","Cobalt","0.012","0.012","0.000","TRUE"
"26-0027","Ethyl benzene","0.009","0.009","0.000","FALSE"
"26-0027","Lead","0.007","0.007","0.000","TRUE"
"26-0027","Selenium","0.005","0.005","0.000","TRUE"
"26-0027","2-Methyl naphthalene","0.004","0.004","0.000","FALSE"
"26-0027","Phenanthrene","0.003","0.003","0.000","FALSE"
"26-0027","7,12-Dimethylbenz[a]anthracene","0.002","0.002","0.000","FALSE"
"26-0027","Beryllium","0.002","0.002","0.000","FALSE"
"26-0027","Pyrene","0.001","0.001","0.000","FALSE"
"26-0027","Fluoranthene","0.000","0.000","0.000","FALSE"
"26-0027","Fluorene","0.000","0.000","0.000","FALSE"
"26-0027","Anthracene","0.000","0.000","0.000","FALSE"
"26-0027","Acenaphthene","0.000","0.000","0.000","FALSE"
"26-0027","Benzo[k]fluoranthene","0.000","0.000","0.000","FALSE"
"26-0027","Indeno[1,2,3-cd]pyrene","0.000","0.000","0.000","FALSE"
"26-0027","Chrysene","0.000","0.000","0.000","FALSE"
"26-0027","Benzo[b]fluoranthene","0.000","0.000","0.000","FALSE"
"26-0027","Benz[a]anthracene","0.000","0.000","0.000","FALSE"
"26-0027","Acenaphthylene","0.000","0.000","0.000","FALSE"
"26-0027","3-Methylcholanthrene","0.000","0.000","0.000","FALSE"
"26-0027","Dibenz[a,h]acridine","0.000","0.000","0.000","FALSE"
"26-0027","Benzo[g,h,i]perylene","0.000","0.000","0.000","FALSE"
"26-0027","Benzo[a]pyrene","0.000","0.000","0.000","FALSE"
"26-0027","Chlorobenzene","0.000","0.000","0.000","FALSE"
"26-0100","Total - All Pollutants","18,283.938","18,283.938","0.000","NA"
"26-0100","Xylenes (mixed) including:","6,260.650","6,260.650","0.000","FALSE"
"26-0100","Ammonia","5,613.584","5,613.584","0.000","FALSE"
"26-0100","Toluene","5,224.247","5,224.247","0.000","FALSE"
"26-0100","Chloroform","319.000","319.000","0.000","FALSE"
"26-0100","Formaldehyde","242.301","242.301","0.000","FALSE"
"26-0100","Propylene","139.548","139.548","0.000","FALSE"
"26-0100","Benzene","128.819","128.819","0.000","FALSE"
"26-0100","Hexane","112.983","112.983","0.000","FALSE"
"26-0100","Ethylene","46.709","46.709","0.000","FALSE"
"26-0100","Ethyl benzene","45.249","45.249","0.000","FALSE"
"26-0100","Methanol","38.450","38.450","0.000","FALSE"
"26-0100","Hydrochloric acid","33.495","33.495","0.000","FALSE"
"26-0100","Methylene chloride","17.607","17.607","0.000","FALSE"
"26-0100","Acetaldehyde","14.712","14.712","0.000","FALSE"
"26-0100","Styrene","10.324","10.324","0.000","FALSE"
"26-0100","1,1,2-Trichloroethane","6.226","6.226","0.000","FALSE"
"26-0100","Vinyl chloride","6.182","6.182","0.000","FALSE"
"26-0100","Phenol","5.678","5.678","0.000","FALSE"
"26-0100","Cyclohexane","4.005","4.005","0.000","FALSE"
"26-0100","Total - Heavy Metals Only","3.527","3.527","0.000","TRUE"
"26-0100","Acrolein","3.182","3.182","0.000","FALSE"
"26-0100","2,2,4-Trimethylpentane","2.868","2.868","0.000","FALSE"
"26-0100","Zinc","2.680","2.680","0.000","TRUE"
"26-0100","Trichloroethylene","2.224","2.224","0.000","FALSE"
"26-0100","Hydrogen sulfide","1.115","1.115","0.000","FALSE"
"26-0100","Barium","0.407","0.407","0.000","FALSE"
"26-0100","Naphthalene","0.386","0.386","0.000","FALSE"
"26-0100","Vanadium (fume or dust)","0.213","0.213","0.000","TRUE"
"26-0100","Nickel","0.194","0.194","0.000","TRUE"
"26-0100","Chromium VI","0.129","0.129","0.000","TRUE"
"26-0100","Dichlorobenzenes (mixed isomers) including:","0.103","0.103","0.000","FALSE"
"26-0100","Biphenyl","0.102","0.102","0.000","FALSE"
"26-0100","Cadmium","0.102","0.102","0.000","TRUE"
"26-0100","Perchloroethylene","0.092","0.092","0.000","FALSE"
"26-0100","Copper and compounds","0.079","0.079","0.000","TRUE"
"26-0100","Ethylene dichloride","0.073","0.073","0.000","FALSE"
"26-0100","Lead","0.043","0.043","0.000","TRUE"
"26-0100","Manganese","0.035","0.035","0.000","TRUE"
"26-0100","Mercury","0.024","0.024","0.000","TRUE"
"26-0100","Arsenic","0.018","0.018","0.000","TRUE"
"26-0100","1,3-Butadiene","0.016","0.016","0.000","FALSE"
"26-0100","Benzo[k]fluoranthene","0.013","0.013","0.000","FALSE"
"26-0100","Chlorobenzene","0.010","0.010","0.000","FALSE"
"26-0100","Cobalt","0.008","0.008","0.000","TRUE"
"26-0100","Methyl ethyl ketone","0.005","0.005","0.000","FALSE"
"26-0100","Benzo[g,h,i]perylene","0.005","0.005","0.000","FALSE"
"26-0100","Benzo[b]fluoranthene","0.004","0.004","0.000","FALSE"
"26-0100","2-Methyl naphthalene","0.004","0.004","0.000","FALSE"
"26-0100","Indeno[1,2,3-cd]pyrene","0.003","0.003","0.000","FALSE"
"26-0100","Chrysene","0.003","0.003","0.000","FALSE"
"26-0100","Dibenz[a,h]anthracene","0.003","0.003","0.000","FALSE"
"26-0100","Phenanthrene","0.003","0.003","0.000","FALSE"
"26-0100","Fluoranthene","0.003","0.003","0.000","FALSE"
"26-0100","Pyrene","0.003","0.003","0.000","FALSE"
"26-0100","Acenaphthene","0.002","0.002","0.000","FALSE"
"26-0100","Anthracene","0.002","0.002","0.000","FALSE"
"26-0100","Benz[a]anthracene","0.002","0.002","0.000","FALSE"
"26-0100","Fluorene","0.002","0.002","0.000","FALSE"
"26-0100","Selenium","0.002","0.002","0.000","TRUE"
"26-0100","Benzo[a]pyrene","0.002","0.002","0.000","FALSE"
"26-0100","Acenaphthylene","0.002","0.002","0.000","FALSE"
"26-0100","7,12-Dimethylbenz[a]anthracene","0.002","0.002","0.000","FALSE"
"26-0100","Beryllium","0.001","0.001","0.000","FALSE"
"26-0100","3-Methylcholanthrene","0.000","0.000","0.000","FALSE"
"26-0100",NA,"0.000","0.000","0.000","FALSE"
"26-1815","Total - All Pollutants","9,643.405","3,639.967","6,003.438","NA"
"26-1815","Silica, crystalline (respirable)","5,951.205","2,502.597","3,448.608","FALSE"
"26-1815","Methyl chloroform","893.235","103.635","789.600","FALSE"
"26-1815","Hydrogen sulfide","488.450","3.410","485.040","FALSE"
"26-1815","Carbonyl sulfide","471.065","0.272","470.794","FALSE"
"26-1815","Toluene","406.164","209.328","196.836","FALSE"
"26-1815","Total - Heavy Metals Only","351.178","187.029","164.149","TRUE"
"26-1815","Ammonia","292.544","292.544","0.000","FALSE"
"26-1815","Formaldehyde","233.878","36.572","197.306","FALSE"
"26-1815","Cobalt compounds","228.098","95.920","132.178","TRUE"
"26-1815","Hexane","164.556","164.556","0.000","FALSE"
"26-1815","Benzene","157.040","44.240","112.800","FALSE"
"26-1815","Xylenes (mixed) including:","118.549","55.381","63.168","FALSE"
"26-1815","Manganese compounds","62.592","58.797","3.795","TRUE"
"26-1815","Hydrochloric acid","57.048","0.000","57.048","FALSE"
"26-1815","Ethyl benzene","48.091","39.406","8.686","FALSE"
"26-1815","Copper and compounds","41.992","17.052","24.940","TRUE"
"26-1815","Barium","7.303","0.402","6.901","FALSE"
"26-1815","Lead","6.734","6.000","0.735","TRUE"
"26-1815","Cobalt","5.098","4.667","0.431","TRUE"
"26-1815","Zinc","3.341","2.651","0.690","TRUE"
"26-1815","Chrysene","2.460","0.000","2.460","FALSE"
"26-1815","Nickel","0.878","0.192","0.686","TRUE"
"26-1815","Arsenic","0.645","0.555","0.089","TRUE"
"26-1815","Selenium","0.627","0.546","0.081","TRUE"
"26-1815","Manganese","0.445","0.035","0.411","TRUE"
"26-1815","Acetaldehyde","0.283","0.283","0.000","FALSE"
"26-1815","Acrolein","0.247","0.247","0.000","FALSE"
"26-1815","Vanadium (fume or dust)","0.210","0.210","0.000","TRUE"
"26-1815","Molybdenum trioxide","0.151","0.151","0.000","TRUE"
"26-1815","Cadmium","0.147","0.101","0.047","TRUE"
"26-1815","Chromium VI","0.128","0.128","0.000","TRUE"
"26-1815","Naphthalene","0.056","0.056","0.000","FALSE"
"26-1815","Antimony","0.053","0.000","0.053","TRUE"
"26-1815","Beryllium","0.043","0.001","0.042","FALSE"
"26-1815","Mercury","0.027","0.024","0.003","TRUE"
"26-1815","Cadmium compounds","0.007","0.000","0.007","TRUE"
"26-1815","Silver","0.003","0.000","0.003","TRUE"
"26-1815","2-Methyl naphthalene","0.002","0.002","0.000","FALSE"
"26-1815","Phenanthrene","0.002","0.002","0.000","FALSE"
"26-1815","7,12-Dimethylbenz[a]anthracene","0.001","0.001","0.000","FALSE"
"26-1815","Pyrene","0.000","0.000","0.000","FALSE"
"26-1815","Fluoranthene","0.000","0.000","0.000","FALSE"
"26-1815","Fluorene","0.000","0.000","0.000","FALSE"
"26-1815","Anthracene","0.000","0.000","0.000","FALSE"
"26-1815","Acenaphthene","0.000","0.000","0.000","FALSE"
"26-1815","Indeno[1,2,3-cd]pyrene","0.000","0.000","0.000","FALSE"
"26-1815","Benzo[k]fluoranthene","0.000","0.000","0.000","FALSE"
"26-1815","Benz[a]anthracene","0.000","0.000","0.000","FALSE"
"26-1815","Acenaphthylene","0.000","0.000","0.000","FALSE"
"26-1815","3-Methylcholanthrene","0.000","0.000","0.000","FALSE"
"26-1815","Benzo[b]fluoranthene","0.000","0.000","0.000","FALSE"
"26-1815","Dibenz[a,h]acridine","0.000","0.000","0.000","FALSE"
"26-1815","Benzo[g,h,i]perylene","0.000","0.000","0.000","FALSE"
"26-1815","Benzo[a]pyrene","0.000","0.000","0.000","FALSE"
"26-1869","Total - All Pollutants","6,764.435","6,628.105","136.330","NA"
"26-1869","Acetone","1,549.594","1,549.594","0.000","FALSE"
"26-1869","Benzene","1,403.508","1,403.508","0.000","FALSE"
"26-1869","Phenol","1,053.335","1,053.335","0.000","FALSE"
"26-1869","Total - Heavy Metals Only","580.162","450.814","129.348","TRUE"
"26-1869","Ammonia","527.714","527.714","0.000","FALSE"
"26-1869","Toluene","490.945","490.945","0.000","FALSE"
"26-1869","Manganese","321.356","255.195","66.160","TRUE"
"26-1869","Xylenes (mixed) including:","208.356","208.356","0.000","FALSE"
"26-1869","Chromium VI","146.550","132.500","14.051","TRUE"
"26-1869","Acetaldehyde","142.321","142.321","0.000","FALSE"
"26-1869","Formaldehyde","134.770","134.770","0.000","FALSE"
"26-1869","Methylene chloride","124.693","124.693","0.000","FALSE"
"26-1869","Hexane","91.802","91.802","0.000","FALSE"
"26-1869","Hydrogen sulfide","89.999","89.999","0.000","FALSE"
"26-1869","Hydrogen Cyanide","82.282","82.282","0.000","FALSE"
"26-1869","Propylene","64.681","64.681","0.000","FALSE"
"26-1869","Styrene","54.283","54.283","0.000","FALSE"
"26-1869","Nickel","48.449","38.874","9.575","TRUE"
"26-1869","1,3-Butadiene","41.822","41.822","0.000","FALSE"
"26-1869","Zinc","24.730","0.000","24.730","TRUE"
"26-1869","1,2,4-Trimethylbenzene","23.498","23.498","0.000","FALSE"
"26-1869","Molybdenum trioxide","22.603","20.246","2.357","TRUE"
"26-1869","Cyclohexane","21.905","21.905","0.000","FALSE"
"26-1869","Ethyl benzene","16.682","16.682","0.000","FALSE"
"26-1869","Naphthalene","15.658","15.658","0.000","FALSE"
"26-1869","Acrolein","13.690","13.690","0.000","FALSE"
"26-1869","Aluminum","13.575","10.873","2.702","FALSE"
"26-1869","Lead","7.454","2.677","4.777","TRUE"
"26-1869","Methyl chloride","6.926","6.926","0.000","FALSE"
"26-1869","Selenium","5.019","0.000","5.019","TRUE"
"26-1869","Carbon disulfide","4.389","4.389","0.000","FALSE"
"26-1869","Barium","4.260","0.000","4.260","FALSE"
"26-1869","Methyl ethyl ketone","3.429","3.429","0.000","FALSE"
"26-1869","Copper and compounds","2.338","0.104","2.234","TRUE"
"26-1869","Vanadium (fume or dust)","1.305","1.217","0.087","TRUE"
"26-1869","Arsenic","0.183","0.000","0.183","TRUE"
"26-1869","Phosphorus","0.153","0.139","0.014","FALSE"
"26-1869","Silver","0.068","0.000","0.068","TRUE"
"26-1869","Cadmium","0.043","0.000","0.043","TRUE"
"26-1869","Cobalt","0.035","0.000","0.035","TRUE"
"26-1869","Thallium","0.013","0.000","0.013","TRUE"
"26-1869","Antimony","0.013","0.000","0.013","TRUE"
"26-1869","Beryllium","0.006","0.000","0.006","FALSE"
"26-1869","Mercury","0.003","0.000","0.003","TRUE"
"26-1889","Total - All Pollutants","7,625.593","37.467","7,588.127","NA"
"26-1889","Ammonia","7,611.117","22.991","7,588.127","FALSE"
"26-1889","Hexane","12.930","12.930","0.000","FALSE"
"26-1889","Formaldehyde","0.705","0.705","0.000","FALSE"
"26-1889","Total - Heavy Metals Only","0.283","0.283","0.000","TRUE"
"26-1889","Zinc","0.208","0.208","0.000","TRUE"
"26-1889","Toluene","0.192","0.192","0.000","FALSE"
"26-1889","Xylenes (mixed) including:","0.142","0.142","0.000","FALSE"
"26-1889","Ethyl benzene","0.050","0.050","0.000","FALSE"
"26-1889","Acetaldehyde","0.049","0.049","0.000","FALSE"
"26-1889","Benzene","0.043","0.043","0.000","FALSE"
"26-1889","Acrolein","0.036","0.036","0.000","FALSE"
"26-1889","Barium","0.032","0.032","0.000","FALSE"
"26-1889","Vanadium (fume or dust)","0.017","0.017","0.000","TRUE"
"26-1889","Nickel","0.015","0.015","0.000","TRUE"
"26-1889","Molybdenum trioxide","0.012","0.012","0.000","TRUE"
"26-1889","Chromium VI","0.010","0.010","0.000","TRUE"
"26-1889","Cadmium","0.008","0.008","0.000","TRUE"
"26-1889","Methanol","0.008","0.008","0.000","FALSE"
"26-1889","Copper and compounds","0.006","0.006","0.000","TRUE"
"26-1889","Naphthalene","0.005","0.005","0.000","FALSE"
"26-1889","Manganese","0.003","0.003","0.000","TRUE"
"26-1889","Mercury","0.002","0.002","0.000","TRUE"
"26-1889","Arsenic","0.001","0.001","0.000","TRUE"
"26-1889","1,3-Butadiene","0.001","0.001","0.000","FALSE"
"26-1889","1,1,2,2-Tetrachloroethane","0.001","0.001","0.000","FALSE"
"26-1889","Cobalt","0.001","0.001","0.000","TRUE"
"26-1889","2-Methyl naphthalene","0.000","0.000","0.000","FALSE"
"26-1889","Selenium","0.000","0.000","0.000","TRUE"
"26-1889","Phenanthrene","0.000","0.000","0.000","FALSE"
"26-1889","Ethylene dibromide","0.000","0.000","0.000","FALSE"
"26-1889","7,12-Dimethylbenz[a]anthracene","0.000","0.000","0.000","FALSE"
"26-1889","Carbon tetrachloride","0.000","0.000","0.000","FALSE"
"26-1889","1,1,2-Trichloroethane","0.000","0.000","0.000","FALSE"
"26-1889","Chloroform","0.000","0.000","0.000","FALSE"
"26-1889","Beryllium","0.000","0.000","0.000","FALSE"
"26-1889","1,2-Dichloropropane","0.000","0.000","0.000","FALSE"
"26-1889","1,3-Dichloropropene","0.000","0.000","0.000","FALSE"
"26-1889","Styrene","0.000","0.000","0.000","FALSE"
"26-1889","Ethylene dichloride","0.000","0.000","0.000","FALSE"
"26-1889","Methylene chloride","0.000","0.000","0.000","FALSE"
"26-1889","Vinyl chloride","0.000","0.000","0.000","FALSE"
"26-1889","1,2,4-Trimethylbenzene","0.000","0.000","0.000","FALSE"
"26-1889","Pyrene","0.000","0.000","0.000","FALSE"
"26-1889","Fluorene","0.000","0.000","0.000","FALSE"
"26-1889","Acenaphthylene","0.000","0.000","0.000","FALSE"
"26-1889","Fluoranthene","0.000","0.000","0.000","FALSE"
"26-1889","Anthracene","0.000","0.000","0.000","FALSE"
"26-1889","Acenaphthene","0.000","0.000","0.000","FALSE"
"26-1889","Chrysene","0.000","0.000","0.000","FALSE"
"26-1889","Benzo[b]fluoranthene","0.000","0.000","0.000","FALSE"
"26-1889","Benzo[k]fluoranthene","0.000","0.000","0.000","FALSE"
"26-1889","Benz[a]anthracene","0.000","0.000","0.000","FALSE"
"26-1889","3-Methylcholanthrene","0.000","0.000","0.000","FALSE"
"26-1889","Indeno[1,2,3-cd]pyrene","0.000","0.000","0.000","FALSE"
"26-1889","Benzo[g,h,i]perylene","0.000","0.000","0.000","FALSE"
"26-1889","Dibenz[a,h]acridine","0.000","0.000","0.000","FALSE"
"26-1889","Benzo[a]pyrene","0.000","0.000","0.000","FALSE"
"26-1889","Benzo[e]pyrene","0.000","0.000","0.000","FALSE"
"26-1894","Total - All Pollutants","2,048.976","589.753","1,459.222","NA"
"26-1894","Formaldehyde","986.867","8.878","977.989","FALSE"
"26-1894","Carbonyl sulfide","445.052","0.210","444.842","FALSE"
"26-1894","Ammonia","363.686","363.686","0.000","FALSE"
"26-1894","Hexane","204.573","204.573","0.000","FALSE"
"26-1894","2-Methyl naphthalene","9.198","0.003","9.195","FALSE"
"26-1894","Phenanthrene","5.485","0.002","5.483","FALSE"
"26-1894","Naphthalene","5.131","0.069","5.061","FALSE"
"26-1894","Total - Heavy Metals Only","4.472","4.472","0.000","TRUE"
"26-1894","o-Cresol","4.429","0.000","4.429","FALSE"
"26-1894","p-Cresol","4.344","0.000","4.344","FALSE"
"26-1894","Fluorene","4.049","0.000","4.049","FALSE"
"26-1894","Phenol","3.830","0.000","3.830","FALSE"
"26-1894","Zinc","3.296","3.296","0.000","TRUE"
"26-1894","Toluene","3.012","3.012","0.000","FALSE"
"26-1894","Xylenes (mixed) including:","2.239","2.239","0.000","FALSE"
"26-1894","Ethyl benzene","0.784","0.784","0.000","FALSE"
"26-1894","Benzene","0.659","0.659","0.000","FALSE"
"26-1894","Barium","0.500","0.500","0.000","FALSE"
"26-1894","Acetaldehyde","0.352","0.352","0.000","FALSE"
"26-1894","Acrolein","0.307","0.307","0.000","FALSE"
"26-1894","Vanadium (fume or dust)","0.261","0.261","0.000","TRUE"
"26-1894","Nickel","0.239","0.239","0.000","TRUE"
"26-1894","Molybdenum trioxide","0.188","0.188","0.000","TRUE"
"26-1894","Chromium VI","0.159","0.159","0.000","TRUE"
"26-1894","Cadmium","0.125","0.125","0.000","TRUE"
"26-1894","Copper and compounds","0.097","0.097","0.000","TRUE"
"26-1894","Manganese","0.043","0.043","0.000","TRUE"
"26-1894","Mercury","0.030","0.030","0.000","TRUE"
"26-1894","Arsenic","0.023","0.023","0.000","TRUE"
"26-1894","Cobalt","0.010","0.010","0.000","TRUE"
"26-1894","Selenium","0.003","0.003","0.000","TRUE"
"26-1894","7,12-Dimethylbenz[a]anthracene","0.002","0.002","0.000","FALSE"
"26-1894","Beryllium","0.001","0.001","0.000","FALSE"
"26-1894","Pyrene","0.001","0.001","0.000","FALSE"
"26-1894","Fluoranthene","0.000","0.000","0.000","FALSE"
"26-1894","Anthracene","0.000","0.000","0.000","FALSE"
"26-1894","Indeno[1,2,3-cd]pyrene","0.000","0.000","0.000","FALSE"
"26-1894","Benzo[b]fluoranthene","0.000","0.000","0.000","FALSE"
"26-1894","Benz[a]anthracene","0.000","0.000","0.000","FALSE"
"26-1894","Acenaphthylene","0.000","0.000","0.000","FALSE"
"26-1894","Acenaphthene","0.000","0.000","0.000","FALSE"
"26-1894","Benzo[k]fluoranthene","0.000","0.000","0.000","FALSE"
"26-1894","3-Methylcholanthrene","0.000","0.000","0.000","FALSE"
"26-1894","Chrysene","0.000","0.000","0.000","FALSE"
"26-1894","Dibenz[a,h]acridine","0.000","0.000","0.000","FALSE"
"26-1894","Benzo[a]pyrene","0.000","0.000","0.000","FALSE"
"26-1894","Benzo[g,h,i]perylene","0.000","0.000","0.000","FALSE"
"26-2026","Total - All Pollutants","9,124.510","8,017.056","1,107.454","NA"
"26-2026","Toluene","2,194.364","1,977.791","216.573","FALSE"
"26-2026","2,2,4-Trimethylpentane","1,524.441","1,224.583","299.858","FALSE"
"26-2026","Hexane","1,492.382","1,191.212","301.169","FALSE"
"26-2026","Xylenes (mixed) including:","1,375.289","1,312.845","62.444","FALSE"
"26-2026","Benzene","1,011.310","863.740","147.569","FALSE"
"26-2026","1,2,4-Trimethylbenzene","643.966","637.628","6.338","FALSE"
"26-2026","Ammonia","273.136","273.136","0.000","FALSE"
"26-2026","Cyclohexane","226.658","181.795","44.864","FALSE"
"26-2026","Ethyl benzene","221.033","207.825","13.209","FALSE"
"26-2026","Methanol","53.400","40.100","13.300","FALSE"
"26-2026","Cumene","52.029","50.249","1.780","FALSE"
"26-2026","Naphthalene","35.476","35.426","0.050","FALSE"
"26-2026","Formaldehyde","6.402","6.402","0.000","FALSE"
"26-2026","Phenol","4.700","4.700","0.000","FALSE"
"26-2026","Total - Heavy Metals Only","3.543","3.543","0.000","TRUE"
"26-2026","Styrene","3.400","3.100","0.300","FALSE"
"26-2026","Zinc","2.475","2.475","0.000","TRUE"
"26-2026","Biphenyl","1.700","1.700","0.000","FALSE"
"26-2026","Cresols (mixtures of) including:","0.381","0.380","0.000","FALSE"
"26-2026","Barium","0.376","0.376","0.000","FALSE"
"26-2026","Acetaldehyde","0.265","0.265","0.000","FALSE"
"26-2026","Acrolein","0.230","0.230","0.000","FALSE"
"26-2026","Vanadium (fume or dust)","0.196","0.196","0.000","TRUE"
"26-2026","Lead","0.185","0.185","0.000","TRUE"
"26-2026","Nickel","0.179","0.179","0.000","TRUE"
"26-2026","Molybdenum trioxide","0.141","0.141","0.000","TRUE"
"26-2026","Chromium VI","0.119","0.119","0.000","TRUE"
"26-2026","Cadmium","0.094","0.094","0.000","TRUE"
"26-2026","Copper and compounds","0.073","0.073","0.000","TRUE"
"26-2026","Manganese","0.032","0.032","0.000","TRUE"
"26-2026","Mercury","0.022","0.022","0.000","TRUE"
"26-2026","Benzo[g,h,i]perylene","0.021","0.021","0.000","FALSE"
"26-2026","Arsenic","0.017","0.017","0.000","TRUE"
"26-2026","Cobalt","0.007","0.007","0.000","TRUE"
"26-2026","2-Methyl naphthalene","0.002","0.002","0.000","FALSE"
"26-2026","Selenium","0.002","0.002","0.000","TRUE"
"26-2026","Phenanthrene","0.001","0.001","0.000","FALSE"
"26-2026","7,12-Dimethylbenz[a]anthracene","0.001","0.001","0.000","FALSE"
"26-2026","Beryllium","0.001","0.001","0.000","FALSE"
"26-2026","Pyrene","0.000","0.000","0.000","FALSE"
"26-2026","Fluoranthene","0.000","0.000","0.000","FALSE"
"26-2026","Fluorene","0.000","0.000","0.000","FALSE"
"26-2026","Anthracene","0.000","0.000","0.000","FALSE"
"26-2026","Chrysene","0.000","0.000","0.000","FALSE"
"26-2026","Benzo[k]fluoranthene","0.000","0.000","0.000","FALSE"
"26-2026","Benzo[b]fluoranthene","0.000","0.000","0.000","FALSE"
"26-2026","Acenaphthylene","0.000","0.000","0.000","FALSE"
"26-2026","Acenaphthene","0.000","0.000","0.000","FALSE"
"26-2026","3-Methylcholanthrene","0.000","0.000","0.000","FALSE"
"26-2026","Indeno[1,2,3-cd]pyrene","0.000","0.000","0.000","FALSE"
"26-2026","Benz[a]anthracene","0.000","0.000","0.000","FALSE"
"26-2026","Dibenz[a,h]acridine","0.000","0.000","0.000","FALSE"
"26-2026","Benzo[a]pyrene","0.000","0.000","0.000","FALSE"
"26-2026","Hydrochloric acid","0.000","0.000","0.000","FALSE"
"26-2026","Zinc oxide","0.000","0.000","0.000","TRUE"
"26-2026","Chlorobenzene","0.000","0.000","0.000","FALSE"
"26-2026","1,3-Butadiene","0.000","0.000","0.000","FALSE"
"26-2026","Propylene","0.000","0.000","0.000","FALSE"
"26-2043","Total - All Pollutants","15,041.699","15,041.699","0.000","NA"
"26-2043","Formaldehyde","3,159.213","3,159.213","0.000","FALSE"
"26-2043","Hydrochloric acid","2,088.087","2,088.087","0.000","FALSE"
"26-2043","Carbonyl sulfide","1,928.707","1,928.707","0.000","FALSE"
"26-2043","Ethyl benzene","1,606.164","1,606.164","0.000","FALSE"
"26-2043","Toluene","1,195.818","1,195.818","0.000","FALSE"
"26-2043","Benzene","1,153.416","1,153.416","0.000","FALSE"
"26-2043","Xylenes (mixed) including:","1,113.629","1,113.629","0.000","FALSE"
"26-2043","Methanol","874.623","874.623","0.000","FALSE"
"26-2043","1,3-Butadiene","579.154","579.154","0.000","FALSE"
"26-2043","Chlorine","477.640","477.640","0.000","FALSE"
"26-2043","Ethylene","311.427","311.427","0.000","FALSE"
"26-2043","Ammonia","145.060","145.060","0.000","FALSE"
"26-2043","Hexane","81.597","81.597","0.000","FALSE"
"26-2043","Methylene chloride","62.093","62.093","0.000","FALSE"
"26-2043","2-Methyl naphthalene","37.855","37.855","0.000","FALSE"
"26-2043","Methyl chloride","37.734","37.734","0.000","FALSE"
"26-2043","Phenol","34.697","34.697","0.000","FALSE"
"26-2043","Naphthalene","24.206","24.206","0.000","FALSE"
"26-2043","p-Cresol","22.695","22.695","0.000","FALSE"
"26-2043","o-Cresol","22.424","22.424","0.000","FALSE"
"26-2043","Phenanthrene","21.990","21.990","0.000","FALSE"
"26-2043","Fluorene","13.798","13.798","0.000","FALSE"
"26-2043","Total - Heavy Metals Only","12.683","12.683","0.000","TRUE"
"26-2043","Pyrene","6.500","6.500","0.000","FALSE"
"26-2043","Chloroform","5.732","5.732","0.000","FALSE"
"26-2043","Nickel","4.872","4.872","0.000","TRUE"
"26-2043","Vinyl chloride","4.633","4.633","0.000","FALSE"
"26-2043","Manganese","4.316","4.316","0.000","TRUE"
"26-2043","Ethyl chloride","3.678","3.678","0.000","FALSE"
"26-2043","Dimethyl phthalate","2.199","2.199","0.000","FALSE"
"26-2043","Di(2-ethylhexyl) phthalate","2.171","2.171","0.000","FALSE"
"26-2043","Dibenzofuran","2.021","2.021","0.000","FALSE"
"26-2043","Anthracene","1.937","1.937","0.000","FALSE"
"26-2043","Dibutyl phthalate","1.879","1.879","0.000","FALSE"
"26-2043","Chrysene","1.854","1.854","0.000","FALSE"
"26-2043","Acenaphthylene","1.691","1.691","0.000","FALSE"
"26-2043","Zinc","1.315","1.315","0.000","TRUE"
"26-2043","Lead","0.955","0.955","0.000","TRUE"
"26-2043","Methyl chloroform","0.955","0.955","0.000","FALSE"
"26-2043","Chromium VI","0.541","0.541","0.000","TRUE"
"26-2043","4-Nitrophenol","0.478","0.478","0.000","FALSE"
"26-2043","Acenaphthene","0.369","0.369","0.000","FALSE"
"26-2043","Cobalt","0.243","0.243","0.000","TRUE"
"26-2043","Barium","0.199","0.199","0.000","FALSE"
"26-2043","Fluoranthene","0.151","0.151","0.000","FALSE"
"26-2043","Phosphorus","0.143","0.143","0.000","FALSE"
"26-2043","Acetaldehyde","0.141","0.141","0.000","FALSE"
"26-2043","Acrolein","0.122","0.122","0.000","FALSE"
"26-2043","Isophorone","0.119","0.119","0.000","FALSE"
"26-2043","Vanadium (fume or dust)","0.104","0.104","0.000","TRUE"
"26-2043","Molybdenum trioxide","0.075","0.075","0.000","TRUE"
"26-2043","Cadmium","0.064","0.064","0.000","TRUE"
