"","company_source_no","company_name","address","total_unfiltered_emissions","total_unfiltered_emissions_heavy_metals_only"
"43","24-8082","Ennis Flint, Inc.","1675 Commercial Street NE, Salem, 97301",19815.0554245669,NA
"44","26-0088","Mutual Materials Company","2300 Se Hogan Road, Gresham , 97080",19612.45466674,12.4320079
"45","03-1791","RSG Forest Products, Inc. ","28890 Highway 213, Molalla, Oregon, 97038",18985.0245851939,8.617212
"46","10-0121","Hoover Treated Wood Products, Inc.","303 Dillard Gardens Road, Winston, 97496",18886.7714274503,3.5645320711
"47","34-2678","Viasystems Corporation (dba TTM Technologies, Inc.)","1521 Poplar Lane, Forest Grove, 97116",18426.6789828589,4.18400823252868
"48","26-0100","Columbia Boulevard WWTP","5001 N. Columbia Boulevard, Portland, 97203",18283.937571446,3.52710612
"49","03-2778","Miles Fiberglass & Plastics Inc.","8855 SE Otty Road, Happy Valley, 97086",17939.764741757,NA
"50","19-0002","Lakeview Sawmill","1600 Missouri Avenue, Lakeview, 97630",17109.0173227988,1657.94995280225
"51","02-7082","Philomath Georgia-Pacific Wood Products, LLC","24808 Alsea Highway, Philomath, 97370",15366.6458130584,9.0989534988
"52","26-2043","CertainTeed Corporation","6350 NW Front Avenue, Portland, 97210",15041.6991673346,12.6834447272
"53","22-3010","Weyerhaeuser Company - Foster Engineered Lumber Products","6011 Highway 20 East, Sweet Home, 97386",15005.011118966,0.18218124
"54","10-0045","Swanson Group Mfg. LLC Glendale Plywood/Veneer","303 Mehlwood lane, Glendale , Oregon, 97442",12824.945638652,2.659320426
"55","02-2298","Oregon State University","3015 SW Western Blvd, Corvallis, 97331",12284.2966861812,14.533023500148
"56","11-0001","Columbia Ridge Landfill and Recycling Center","18177 Cedar Springs Landfill and Recycling Center, Arlington, 97812",12070.4599310226,0.297466244705882
"57","15-0030","City of Medford Vernon Thorpe RWRF","1100 Kirtland Road, Central Point, 97502",11677.9965303034,0.219679932018
"58","23-0032","EP Minerals- Celatom Plant","2630 Graham Blvd., Vale, 97918",11644.5223424314,25.3875638834308
"59","24-0129","Steelhead Metal & Fab LLC","3958 Boone Rd SE, Salem, 97301",11167.572482,11167.572482
"60","26-0026","Rodda Paint Co.","6123 N. Marine Drive, Portland, 97203",11154.436709093,19.6698
"61","10-0033","Orenco Systems, Inc.","814 Airway Ave., Sutherlin, 97479",10883.8883906283,0.4825205892
"62","34-0152","QuantumClean","21421 NW Jacobson Road, Hillsboro, 97124",10782.421618728,NA
"63","05-1849","Cascades Tissue Group - Oregon","1300 Kaster Road, St. Helens, 97051",10605.666930231,17.470512
"64","03-0003","S.R. Smith, LLC","1017 SW Berg Parkway, Canby, 97013",10108.073,1.9812
"65","33-0007","Wasco County Landfill","2550 Steele Rd, The Dalles, 97058",9575.64763700819,0.273801347332813
"66","18-0006","JELD-WEN, Inc. dba JELD-WEN","3303 Lakeport Blvd, Klamath Falls, 97601",9329.148721119,7.28115066
"67","34-2762","Bonita Packaging Products Inc. dba Bonita Pioneer","7333 SW Bonita Rd, Portland, 97224",8993.55,NA
"68","03-0041","McClure Industries","9051 SE 55th Avenue, Portland, 97206",8846.2650814652,3.254536328
"69","31-0028","Hexion Inc.","62575 Oregon Hwy 82, Island City, 97850",8794.75111797672,1.190434392
"70","18-0005","Interfor US, Inc., Gilchrist Facility","#1 Sawmill Road, Gilchrist, 97737",8746.896007038,0.16093332
"71","03-0011","Clackamas County Tri-City Water Pollution Control Plant","15941 S. Agnes Avenue, Oregon City, 97045",8587.76524692168,81.3837920804476
"72","26-2026","Phillips 66 Portland Terminal","5528 NW Doane Avenue, Portland, 97210",8017.05570034564,3.54331353339607
"73","26-1865","EVRAZ Portland - Rivergate","14400 N Rivergate Blvd, Portland, 97203",7826.55289008,60.662124
"74","26-2028","Kinder Morgan Liquids Terminals, LLC","5880 NW St. Helens Road, Portland, 97210",7666.38860522143,1.44152817
"75","36-5034","Cascade Steel Rolling Mills","3200 North Highway 99W, McMinnville, 97128",7418.95231109989,3207.95500211299
"76","25-0038","Tidewater Terminal Company - Boardman Biofuels Dock","71987 Lewis & Clark Dr, Boardman, 97818",7115.747,NA
"77","34-2681","Intel Corporation",", Aloha Campus, 3585 SW 198th Avenue",7109.24601400132,48.7948559448
"78","10-0054","Emerald Forest Products Plant #4","649 Fir Street, Drain, 97435",7032.162512933,NA
"79","15-0046","Boise Cascade - White City Veneer","7890Agate Road, White City, OR, 97503",6843.76115794,5.7723516
"80","26-1869","Columbia Steel Casting Co., Inc.","10425 N. Bloss Avenue, Portland, 97283",6628.10518555574,450.81411668
"81","36-0011","Riverbend Landfill","13469 SW Highway 18, McMinnville, 97128",6503.50963924941,0.0355233441176471
"82","03-0010","Clackamas County Kellogg Creek Water Pollution Control Plant","11525 SE McLoughlin Blvd., Milwaukie, 97222",6432.32150270447,46.0628288891488
"83","33-0003","Amerities West LLC","100 Tie Plant Road, The Dalles, 97058",6417.92189434008,2.1602940072
"84","34-9510","Summit Natural Energy","535 N. 4th Ave., Cornelius, 97113",6107.20042210638,1.02101092034695
"85","22-0547","TDY Industries, LLC dba ATI Specialty Alloys and Components","1600 Old Salem Rd NE, Albany, 97321",5986.73254220681,19.50087616
"86","36-8010","Hampton Lumber Mills, Inc. dba Willamina Lumber Company","1000 Willamina Creek Drive, Willamina, 97396",5963.5712597984,0.314784
"87","30-0016","Boise Cascade Wood Products, L.L.C., Kinzua Lumber","600 NW Cedar St., Pilot Rock, 97868",5851.23834532722,8.66620179105058
"88","26-3224","Vigor Industrial, LLC","5555 N. Channel Ave, Portland, 97217",5782.89831186915,208.991979586682
"89","26-2944","Gunderson, LLC.","4350 NW Front Avenue, Portland, 97210",5600.503235042,5424.899928242
"90","08-0008","South Coast Lumber Co.","17345 Carpenterville Road, P.O. Box 670, Brookings, Oregon",5083.45118,NA
"91","30-0028","Vadata,Inc","2400 Beach Access Road, Umatilla, 97882",5080.82830282571,6.54540188574921
"92","03-2738","Consolidated Metco Inc.","10448 Highway 212, Clackamas, 97015",5032.97498009228,112.412052348
"93","25-0006","Pacific Ethanol Columbia, LLC","71335 Rail Loop Drive, Boardman, 97818",4966.47735742795,35.7738027786
"94","09-0084","Gas Transmission Northwest LLC, Compressor Station #12","U.S. 97, 19 miles south of Bend, Oregon, Bend, 97702",4852.5036447658,NA
"95","26-2029","Shore Terminals LLC","9420 NW St. Helens Road, Portland, 97231",4770.1516221023,0.018532435824
"96","07-0046","Prineville Data Center","1600 SW Baldwin Rd., Prineville, 97754",4733.9520048,6.0985368
"97","23-0003","KraftHeinz Food Company, Ontario, OR","175 NE 6th Ave, Ontario, 97914",4732.57032652456,35.9204271984
"98","18-0072","Gas Transmission Northwest LLC, Compressor Station #14","Harpold Valley Road, 3 miles south of Bonanza, Bonanza, 97623",4411.4993649558,NA
"99","10-0031","Roseburg Landfill","384 McLain West Avenue, Roseburg , 97470",4385.343968,0.02892
"100","28-0007","Gas Transmission Northwest LLC, Compressor Station #10","Wilcox Rd., 18 miles south of Grass Valley, OR on Hwy 97, Grass Valley, 97029",4363.628000042,NA
"101","25-0032","Lamb Weston,Inc. - Boardman West Plant","600 NE Columbia Ave., Boardman, 97818",4225.414163824,32.074673216
"102","25-0002","Oregon Potato Company","650 E. Columbia Ave, Boardman, OR, 97818",4116.688185038,31.24585332
"103","15-0029","Carestream Health, Inc.","8124 Pacific Avenue, White City, 97503",4087.473659094,7.52783614
"104","09-0040","Knott Landfill","61050 SE 27th Street, Bend, 97702",4072.1736738592,0.022242948
"105","26-2030","BP West Coast Products, LLC: Portland Terminal","9930 NW St. Helens Road, Portland, 97231",4030.11749906922,0.400536793764706
"106","25-0007","Vadata,Inc","73575 Lewis and Clark Drive, Boardman, 97818",3981.89355510287,5.12969382766348
"107","26-3240","Microchip Technology Inc.","21015 SE Stark Street, Gresham, 97030",3980.7680249536,5.9812193136
"108","36-8031","Boise Cascade - Willamina Veneer","34160 SW Valley Highway, Willamina, OR, 97396",3920.84814624,0.1259136
"109","26-1876","Owens-Brockway Glass Container Inc.","9710 NE Glass Plant Rd., Portland, 97294-0067",3820.5197791,850.3157606
"110","07-0037","Vitesse Data Center","735 SW Connect Way, Prineville, 97754",3796.8163392,4.8912672
"111","12-0032","Malheur Lumber Company","60339 West Highway 26, John Day, OR, 97845",3674.8954,NA
"112","09-0015","JELD-WEN, inc. dba JELD-WEN","62845 Boyd Acres Road, Bend, 97701",3656.5023511956,0.386712144
"113","26-1815","Owens Corning Roofing & Asphalt, LLC","3750 NW Yeon Avenue, Portland, 97210",3639.96704410062,187.0286636989
"114","30-0056","Blue Mountain Lumber","44112 Rieth Road, Pendleton, 97801",3575.41315677799,289.520215268442
"115","02-2173","Hollingsworth & Vose Fiber Company","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2), Corvallis, 97339",3481.49742692745,26.4247261502825
"116","01-0038","Baker Compressor Station","7.5 Miles NW of Baker City to Chandler Lane, Baker City, 97814",3381.73771599701,0.37498644
"117","30-0075","Lamb Weston,Inc. - Hermiston Plant","78153 Westland Road, Hermiston, 97838",3337.4551102593,25.3321624441989
