"","company_source_no","company_name","address","total_unfiltered_emissions","total_unfiltered_emissions_heavy_metals_only"
"172","27-0012","Meduri Farms, Inc.","12375 Smithfield Road, Dallas, 97338",675.5969045449,5.127811686
"173","26-3067","Owens Corning Roofing and Asphalt, LLC","11910 NW St. Helens Road, Portland, 97231",667.745496951,5.06821914
"174","26-2068","ESCO Corporation","2211 NW Brewer St., Portland, 97210",627.469029082875,66.2996848435634
"175","26-1894","Herbert Malarkey Roofing Company","3131 N. Columbia Blvd., Portland, OR, 97217",589.753486362413,4.47197663739769
"176","26-3267","U.S. Bancorp Columbia Center","17650 NE Sandy Boulevard, Portland, 97230",540.19825859209,0.695913046008789
"177","34-9514","Agilyx Corporation","7904 Hunziker Street, Tigard, 97223",539.952219294118,3.98868057859209
"178","26-2197","Daimler Trucks North America LLC","6936 N Fathom Street, Portland, 97217",507.769470566595,3.6977622928577
"179","03-2634","Johnson Controls Battery Group, Inc.","800 NW 3rd Avenue, Canby, 97013",507.117648383207,27.710956823027
"180","15-0222","Boise Cascade - Engineered Wood Products","1155 Antelope Road, White City, OR, 97503",482.7723024,NA
"181","21-0042","NW Natural - Newport LNG","1554 Yaquina Bay Road, Newport, 97365",434.44567488119,0.22389012
"182","03-2624","Blount, Inc.","4909 SE International Way, Milwaukie, 97222",421.217534278578,3.19706052542793
"183","18-0097","173d Fighter Wing Oregon Air National Guard","221 Wagner Street, Suite 16, Klamath Falls, 97603",396.01,0.3
"184","22-8045","OFD Foods, LLC - Plant 2 & 3","525 25th Ave SW, Albany, Oregon, 97322",388.83214431278,2.9520436692
"185","26-3228","Gresham Wastewater Treatment Plant","20015 NE Sandy Blvd, Gresham   , 97230",385.394048555231,1.0742715084
"186","22-0011","Pacific Cast Technologies, Inc. dba ATI Cast Products","150 Queen Ave SW, Albany, 97322",380.1900754788,5.3507019588
"187","22-8056","EnerG2 Technologies, Inc.","3000 Calapooia Street SW, Albany, 97322",373.2846755644,2.788723416
"188","34-2813","Jireh Semiconductor Inc.","3131 NE Brookwood Pkwy, Hillsboro, 97124",362.698424982,2.55188772
"189","26-3291","The Boeing Company","4635 NE Cornfoot Road, Portland, 97218",353.9941234648,2.130910872
"190","34-0010","SolarWorld Americas, Inc.","25300 NW Evergreen Rd., Hillsboro, 97124",353.730085002,0.310604208
"191","26-2390","Supreme Perlite Company","4600 North Suttle Road, Portland, 97239",352.94111916674,2.6788393836
"192","34-2638","Tektronix, Inc.","14150 SW Karl Braun Drive, Beaverton, Oregon",344.870414718337,2.125621661988
"193","22-8050","Stahlbush Island Farms, Inc.","3122 Stahlbush Island Rd., Corvallis, OR, 97333",343.547478481439,2.05543214742527
"194","29-0003","Farm Power Tillamook","2200 McCormick Loop Rd, Tillamook, 97141",333.740091608,0.599465328
"195","22-8042","Albany Compressor Station","34939 Spicer Drive SE, Albany, 97321",320.88508268366,0.0740156572
"196","26-3241","Sapa Extrusions","5325 NE Skyport Way, Portland, 97218",319.366335780859,2.41772343148818
"197","26-2777","Graphic Packaging International, Inc.","3400 North Marine Drive, Portland, OR, 97217",317.27048184,2.4080976
"198","26-0076","FLINT GROUP NORTH AMERICA","2985 N MARINE DR, PORTLAND, 97217-7745",302.63928356168,0.0004879152
"199","26-3051","International Paper- Portland Container","1601 NE 192nd ave, Portland, 97230",290.632807247059,2.20591642044359
"200","15-0022","Plycem USA, LLC","1200 Ave G, White City, 97503",289.7659305099,2.199336786
"201","26-3272","Oldcastle APG West, Inc. dba Sakrete of the Pacific Northwest","1402 North River St., Portland, 97227",279.364019135944,1.37435606188076
"202","03-0016","Wolf Steel Foundry Inc.","6160 South Whiskey Hill Road, Hubbard Oregon, 97032",266.7606808518,225.840730824
"203","25-0036","Columbia River Processing, Inc.","79588 Rippee Road, Boardman, 97818",264.495751364,2.00753496
"204","24-8061","Boise Packaging & Newsprint, L.L.C. (subsidiary of Packaging Corporation of America)","2121 Madrona Avenue SE, Salem, 97302",263.054918275474,1.99659897036
"205","29-0008","Farm Power Misty Meadow","23 Evergreen Dr, Tillamook, 97141",244.186590992,0.772210272
"206","26-2492","Northwest Pipe Company","12005 N Burgard, Portland, 97203",221.833970628,97.06783992
"207","29-0004","Tillamook County Creamery Association","4185 Highway 101 N, Tillamook, 97141",211.646374,0.3999632
"208","26-2557","Blasen & Blasen Lumber Corp.","2155 N Columbia Blvd., Portland, 97217",186.5556,NA
"209","34-0063","Lam Research","11155 SW Leveton Drive, Tualatin, 97062",179.65748423322,1.2648947182072
"210","25-0039","Calbee North America","72600 Lewis & Clark Dr., Boardman, OR, 97818",173.772982864,1.31894496
"211","34-0005","Valmont Industries, Inc.","9700 SW Herman Road, Tualatin, 97062",172.062210658,1.30596012
"212","30-9503","Pioneer Hi-Bred International","2212 SE 9th street, Hermiston, Or, 97838",161.289438366166,1.22419428111432
"213","16-0026","Gas Transmission Northwest LLC, Compressor Station #11","Oregon Hwy. 26, 12 miles south of Madras, Oregon, Madras, 97741",157.8825047574,NA
"214","03-0050","Xerox","26600 SW Parkway Avenue, Suite #200, Wilsonville, 97070",148.62487392,0.19146672
"215","21-0064","Trident Seafoods Newport Fishmeal Plant","1310 SE Bay Blvd, Newport, 97365",148.39816668,0.4879152
"216","27-8034","Forest River, Inc.","900 Walnut Street, Independence, 97351-2143",145.1564296,1.101744
"217","26-0018","East Side Plating - Plant #5","1300 SE 2nd Ave., Portland, 97214-3301",144.2583,144.2583
